mx_host,asn,asn_name,domain_count
mx.yomail.info,24940,"HETZNER-AS, DE",269
mail2.anonaddy.me,202053,"UPCLOUD, FI",267
mx195.mb5p.com,14061,"DIGITALOCEAN-ASN, US",257
mail.casadorock.com,212317,"HETZNER-CLOUD3-AS, DE",255
mx.moakt.com,46475,"LIMESTONENETWORKS, US",253
mx1.timeweb.ru,9123,"TIMEWEB-AS, RU",246
mx00.mail.com,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",241
mx.10mail.xyz,24940,"HETZNER-AS, DE",228
mail.wallywatts.com,14061,"DIGITALOCEAN-ASN, US",116
mail.wallywatts.com,24940,"HETZNER-AS, DE",110
mxb.mailgun.org,396982,"GOOGLE-CLOUD-PLATFORM, US",216
smtpv2.ec2.33mail.com,14618,"AMAZON-AES, US",116
smtpv2.ec2.33mail.com,16509,"AMAZON-02, US",98
mail.eye-mail.net,14061,"DIGITALOCEAN-ASN, US",86
mail.eye-mail.net,24940,"HETZNER-AS, DE",85
mx.dka.mailcore.net,34766,"LAYER23, NL",88
mx.dka.mailcore.net,3308,"TELIANET-DENMARK, SE",72
mailosaur.net,396982,"GOOGLE-CLOUD-PLATFORM, US",157
inbound-smtp.skiff.com,16509,"AMAZON-02, US",151
smtp.secureserver.net,398101,"GO-DADDY-COM-LLC, US",93
smtp.secureserver.net,26496,"AS-26496-GO-DADDY-COM-LLC, US",58
em4.rejecthost.com,14061,"DIGITALOCEAN-ASN, US",149
mx.tmail.delivery,16509,"AMAZON-02, US",114
mx.tmail.delivery,14618,"AMAZON-AES, US",29
smtp.oneb.net,24940,"HETZNER-AS, DE",141
mx.yandex.net,13238 208398,,140
mx.zoho.com,2639,"ZOHO-AS, US",140
em4.catchservers.com,14061,"DIGITALOCEAN-ASN, US",140
mail.ese.kr,9318,"SKB-AS SK Broadband Co Ltd, KR",130
em4.mainnetmail.com,14061,"DIGITALOCEAN-ASN, US",127
use4.bumpemail.com,213230,"HETZNER-CLOUD2-AS, DE",125
ereg4.brushemail.com,14061,"DIGITALOCEAN-ASN, US",122
mail.protonmail.ch,62371,"PROTON, CH",121
blackhole.aftermarket.pl,48707,"AS48707-OPS-, PL",117
reception01.mail-vert.fr,16276,"OVH, FR",115
mx.powered.name,24940,"HETZNER-AS, DE",114
mx.mailpwr.com,24940,"HETZNER-AS, DE",106
inbound-smtp.us-east-1.amazonaws.com,14618,"AMAZON-AES, US",72
inbound-smtp.us-east-1.amazonaws.com,16509,"AMAZON-02, US",33
mx.mimimail.me,24940,"HETZNER-AS, DE",103
mx.breakthur.com,14061,"DIGITALOCEAN-ASN, US",102
mail.xoxox.ooo,47583,"AS-HOSTINGER, CY",100
mx.mailhost12.net,14061,"DIGITALOCEAN-ASN, US",99
in1-smtp.messagingengine.com,151847,"FASTMAILPTYLTD-AS-AP Fastmail Pty Ltd, AU",99
w4.aerospaceemail.com,14061,"DIGITALOCEAN-ASN, US",94
aero4.stememail.com,14061,"DIGITALOCEAN-ASN, US",94
mx1.privateemail.com,22612,"NAMECHEAP-NET, US",94
srv4.recoverhost.com,14061,"DIGITALOCEAN-ASN, US",89
in.mail.tm,24940,"HETZNER-AS, DE",84
mail4.outsideserver.com,14061,"DIGITALOCEAN-ASN, US",81
tm.xuanlich.com,14061,"DIGITALOCEAN-ASN, US",80
mx.generic-isp.com,14061,"DIGITALOCEAN-ASN, US",78
mx.stackmail.com,48254,"TWENTYI, GB",78
email-fake.com,30886,"KOMITEX-AS, UA",76
recv1.erinn.biz,7506,"INTERQ GMO Internet Group, Inc., JP",75
mx1.hosting.reg.ru,197695,"AS-REG, RU",74
mx2.forwardemail.net,60068,"CDN77 _, GB",37
mx2.forwardemail.net,14061,"DIGITALOCEAN-ASN, US",36
mainmx4.darkprobe.com,14061,"DIGITALOCEAN-ASN, US",70
coloa4.hubblehost.com,14061,"DIGITALOCEAN-ASN, US",69
mx4.mxcomet.com,24940,"HETZNER-AS, DE",69
mx10.antispam.mailspamprotection.com,396982,"GOOGLE-CLOUD-PLATFORM, US",67
mx01.mail.icloud.com,714,"APPLE-ENGINEERING, US",64
emx.mail.ru,47764,"VK-AS, RU",62
mx.discard.email,197540,"NETCUP-AS netcup GmbH, DE",59
mail.computer.com,199524,"GCORE, LU",59
mx1.titan.email,14618,"AMAZON-AES, US",39
mx1.titan.email,16509,"AMAZON-02, US",19
