domain,fp_id,fp_name,confidence,flame_tp_ids,evidence
adobne.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobve.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobu.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1dp.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobw.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobey.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adsobe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adolbe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
ado9be.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adokbe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adogbe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobef.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobge.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adcobe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
ado0be.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobe4.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobhe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adohbe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adkobe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adob4.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobe3.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adoje.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobe2.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobem.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobg.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1huntington.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1iquid.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adtna.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1lbm.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobev.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1llstate.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobo.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adebe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adp6.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adp2.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobeh.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobeu.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpw.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1block.xyz,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpx.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1ntel.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adetna.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1ong.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobs.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adoce.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobez.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adsp.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adofe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1htx.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1pple.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adube.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adt.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
ae4na.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
aeericanexpress.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aedna.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aedobe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
aeazon.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
aefna.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
aegna.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aedp.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
aemricanexpress.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aeetna.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
aengo.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
aeobe.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
aendesk.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
aenta.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aelp.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
