asn,asn_name,risk_score_domains
965,"WEBHOSTINGHOLDINGS, US",8
22414,"CRAIGS-NET-1, US",8
53667,"PONYNET, US",8
34010,"YAHOO-IRD, GB",8
37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",7
7684,"SAKURA-A SAKURA Internet Inc., JP",7
41608,"NEXTGENWEBS-NL, ES",7
44112,"SWEB-AS, RU",7
49981,"WORLDSTREAM, NL",7
3209,"VODANET International IP-Backbone of Vodafone, DE",7
203417,"LH, PL",7
50474,"O2SWITCH, FR",7
25820,"IT7NET, CA",7
210909,"TUTA, DE",7
9371,"SAKURA-C SAKURA Internet Inc., JP",7
51468,"ONECOM, DK",7
60118,"CYBERSMARTSOLUTIONS-AS, RO",7
30031,"MIMECAST-, US",7
25577,"C4L-AS, GB",7
9002,"RETN-AS, GB",7
31034,"ARUBA-ASN, IT",6
48896,"DHOSTING-AS Warsaw, Poland, PL",6
40092,"ONIAAS, US",6
43614,"ECONOMIA-, CZ",6
58487,"CRI-AS-AP CV. Rumahweb Indonesia, ID",6
37153,"xneelo, ZA",6
39729,"REGISTER-AS, IT",6
141995,"CAPL-AS-AP Contabo Asia Private Limited, SG",6
22653,"GLOBALCOMPASS, US",6
13916,"PROOFPOINT-UT7, US",6
15557,"LDCOMNET --- I3Dnet ---, FR",6
49505,"SELECTEL, RU",6
56201,"ZOHO-IN Zoho Corporation Pvt. Ltd, IN",6
57367,"ECO-ATMAN-PL ECO-ATMAN-, PL",6
57043,"HOSTKEY-AS, NL",6
54641,"IMH-IAD, US",5
12488,"KRYSTAL, GB",5
47172,"GREENHOST, NL",5
399646,"DARTNODE, US",5
34931,"AWARESOFT, GB",5
56851,"VPS-UA-AS, UA",5
53780,"AS-APPRIVER, US",5
59253,"LEASEWEB-APAC-SIN-11 LEASEWEB SINGAPORE PTE. LTD., SG",5
25532,"MASTERHOST-AS Moscow, Russia, RU",5
3561,"CENTURYLINK-LEGACY-SAVVIS, US",5
50340,"SELECTEL-MSK, RU",5
174,"COGENT-174, US",5
31242,"TKPSA-AS, PL",5
8677,"WORLDLINE, FR",5
45090,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",5
24935,"ATE-AS, FR",5
2516,"KDDI KDDI CORPORATION, JP",5
33387,"NOCIX, US",5
35278,"SPRINTHOST, RU",5
31863,"DACEN-2, US",5
27589,"MOJOHOST, US",4
2514,"INFOSPHERE NTT PC Communications, Inc., JP",4
14627,"NOIP-VITAL, US",4
199118,"HPLS-AS, DE",4
48287,"RU-CENTER, RU",4
31229,"PL-BEYOND-AS, PL",4
202053,"UPCLOUD, FI",4
206281,"AS-ZXCS, NL",4
13768,"COGECO-PEER1, CA",4
25697,"UPCLOUDUSA, US",4
15598,"IPX-AS15598, DE",4
29097,"HOSTPOINT-AS, CH",4
51557,"TR-ISIMTESCIL-20201202, TR",4
48635,"CLDIN-NL Your Hosting B.V. part of Your.Online, NL",4
45012,"CLOUDPIT, DE",4
52129,"PROOFPOINT-ASN-EU, US",4
6830,"LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL",4
20738,"GD-EMEA-DC-LD5, GB",4
30475,"WEHOSTWEBSITES-COM, US",4
51191,"XIRRA, DE",4
15738,"UAEXPRESS Ukraine, UA",4
4713,"OCN NTT DOCOMO BUSINESS,Inc., JP",4
20860,"IOMART-AS, GB",4
45638,"SYNERGYWHOLESALE-AP SYNERGY WHOLESALE PTY LTD, AU",4
63410,"PRIVATESYSTEMS, US",4
6364,"ATLANTIC-NET-1, US",4
52148,"ENIXLTD, GB",4
13182,"ASN-ADHOC-NETWORK Rimini, Italy, IT",4
198203,"ASN-ROUTELABEL, NL",4
56694,"SMARTAPE, RU",4
43541,"VSHOSTING, CZ",4
23352,"SERVERCENTRAL, US",4
4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",4
33182,"DIMENOC, US",3
62082,"HOSTLAND, RU",3
212441,"CLOUDASSETS, RU",3
53589,"PLANETHOSTER-8, CA",3
58061,"SCALAXY-AS, LV",3
206170,"INLEED, SE",3
39566,"AS-SMARTHOST-, PL",3
8473,"BAHNHOF, SE",3
8636,"MAXNET Russia, RU",3
50840,"AS-HITME, PL",3
