domain,ip,shodan_ip,ports,vulns,tags,flame_tp_ids,hostnames,os,priority,reason
10betcasinomx.net,104.21.27.149,104.21.27.149,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,"TP-0036,TP-0051",www.smtp.breadloaf.com;breadloaf.com;corbusier.breadloaf.com,,0,"FLAME:TP-0036,TP-0051"
081430.xyz,172.67.177.230,172.67.177.230,8080;2082;2083;2052;2053;2086;2087;2095;80;8880;8443;443,,cdn,TP-0079,garden.pittsburghkids.org;fundacion.sener,,0,FLAME:TP-0079
0543sh.com,154.213.68.100,154.213.68.100,80,,,"TP-0032, TP-0049",,,0,"FLAME:TP-0032, TP-0049"
4teams.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4twins.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4malpractice.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4tv.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4tea.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4vitamins.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4webcams.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4webdesign.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4universities.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4windows.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
51de.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
5555fun.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
6789v.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
6ekk.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
