ASN,Name,Country,Source_List,Is_High_Value_Target,Target_Type
AS140941,,,Unknown,False,
AS141,,,Unknown,False,
AS141039,"PACKETHUBSA-AS-AP PacketHub S.A., PA",PA,Unknown,False,
AS14120,"ONEZERO-AS, US",US,Unknown,False,
AS14127,,,Unknown,False,
AS141333,"ROCKETGP-AS-IN Rocket Media Group, IN",IN,Unknown,False,
AS141567,"INTERSP-AS-IN Interspire Addon, IN",IN,Unknown,False,
AS14160,,,Unknown,False,
AS141803,"INVISION-AS-IN INVISION CHIP TECHNO SOFT, IN",IN,Unknown,False,
AS141835,,,Unknown,False,
AS141836,,,Unknown,False,
AS141853,"SRJNH-AS-IN SRJN HOSPITALITY PRIVATE LIMITED, IN",IN,Unknown,False,
AS141875,"ZEN4-AS-IN Zen4 Soft Solution, IN",IN,Unknown,False,
AS141995,"CAPL-AS-AP Contabo Asia Private Limited, SG",SG,Unknown,False,
AS142,,,Unknown,False,
AS142002,"SCLOUDPTELTD-AS Scloud Pte Ltd, SG",SG,Unknown,False,
AS142062,"HQTC-AS-AP qlhost, TW",TW,Unknown,False,
AS1421,"WANSEC, US",US,Unknown,False,
AS142430,,,Unknown,False,
AS14244,,,Unknown,False,
AS142519,,,Unknown,False,
AS142622,,,Unknown,False,
AS143,,,Unknown,False,
AS14384,,,Unknown,False,
AS144,,,Unknown,False,
AS14415,"HOSTCOLLECTIVE, US",US,Unknown,False,
AS1442,"ASNSISL, US",US,Unknown,False,
AS14442,"AS14442, CA",CA,Unknown,False,
AS145,"VBNS, US",US,Unknown,False,
AS14567,"SPRINGS, US",US,Unknown,False,
AS14576,"HOSTING-SOLUTIONS, US",US,Unknown,False,
AS14586,"NUCLEARFALLOUT-CHI, US",US,Unknown,False,
AS146,"HQEIS-AS, US",US,Unknown,False,
AS14618,,,Unknown,False,
AS146887,,,Unknown,False,
AS147,"DNIC-AS-00147, US",US,Unknown,False,
AS147049,"PACKETHUBSA-AS-AP PacketHub S.A., AU",AU,Unknown,False,
AS14708,"WebHost Chile S.A., CL",CL,Unknown,False,
AS147211,,,Unknown,False,
AS147287,"DATAPARA1-AS-IN DATAPARADISE, IN",IN,Unknown,False,
AS147291,"KHALIDGROUP-AS-AP KHALID GROUP, PK",PK,Unknown,False,
AS148,,,Unknown,False,
AS149,"DNIC-AS-00149, US",US,Unknown,False,
AS149148,"PHUHAIPC-VN Phu Hai Computer Co., Ltd, VN",VN,Unknown,False,
AS149181,"BHAGWAT-AS-IN BHAGWAT SOFTWARE, IN",IN,Unknown,False,
AS149196,"ZAIFCOMP-AS-IN Zaif Computers, IN",IN,Unknown,False,
AS149197,,,Unknown,False,
AS149208,,,Unknown,False,
AS149242,,,Unknown,False,
AS149286,,,Unknown,False,
AS149440,,,Unknown,False,
AS14956,,,Unknown,False,
AS14986,"-Reserved AS-, ZZ",,Unknown,False,
AS14987,"RETHEMHOSTING, US",US,Unknown,False,
AS14992,"CRYSTALTECH, US",US,Unknown,False,
AS15,"NET-DYNAMICS-EXP, US",US,Unknown,False,
AS150,,,Unknown,False,
AS15003,,,Unknown,False,
AS150030,"ALGO-AS-IN ALGOZINI SERVICES PRIVATE LIMITED, IN",IN,Unknown,False,
AS150036,"HEEBS-AS-IN HEEBS HEALTHCARE PRIVATE LIMITED, IN",IN,Unknown,False,
AS150082,,,Unknown,False,
AS150091,"VEDIMA-AS-IN VEDIMANTRA LIFECARE PRIVATE LIMITED, IN",IN,Unknown,False,
AS150100,"ARKCOM-AS-IN A Telecommunications Pvt Ltd., IN",IN,Unknown,False,
AS150101,"YASHITS-AS-IN Yash It Solutions, IN",IN,Unknown,False,
AS150102,,,Unknown,False,
AS150156,"M99IT-AS-AP 99IT, BD",BD,Unknown,False,
AS150249,"IDNIC-ATHARVA-AS-ID PT Atharva Telematika Persada, ID",ID,Unknown,False,
AS150604,,,Unknown,False,
AS150813,,,Unknown,False,
AS15083,"INFOLINK-MIA-, US",US,Unknown,False,
AS150860,,,Unknown,False,
AS151,"HPINC-EMEA, US",US,Unknown,False,
AS151106,"HOSTYCARE-AS-IN SRMAK TECHNOLOGICAL SYSTEM PRIVATE LIMITED, IN",IN,Unknown,False,
AS15149,"EZZI-101-BGP, US",US,Unknown,False,
AS151604,,,Unknown,False,
AS15169,"GOOGLE, US",US,Unknown,False,
AS151873,,,Unknown,False,
AS15189,,,Unknown,False,
AS152,,,Unknown,False,
AS152149,"AHAMEDIT-AS-AP Ahamed IT, BD",BD,Unknown,False,
AS152170,,,Unknown,False,
AS152192,"GMTECH-AS-AP GM Tech, BD",BD,Unknown,False,
AS152194,"CTGSERVERLIMITED-AS-AP CTG Server Limited, HK",HK,Unknown,False,
AS152320,,,Unknown,False,
AS152327,"RASUWEBHOST-AS-AP Rasu Web Host, BD",BD,Unknown,False,
AS152485,"HOSTER-AS-IN Hosterdaddy Private Limited, IN",IN,Unknown,False,
AS152486,,,Unknown,False,
AS153,,,Unknown,False,
AS15395,"RACKSPACE-LON, GB",GB,Unknown,False,
AS154,"DNIC-AS-00154, US",US,Unknown,False,
AS154177,,,Unknown,False,
AS154206,,,Unknown,False,
AS15497,"COLOCALL Internet Data Center ColoCALL, SK",SK,Unknown,False,
AS155,"DNIC-AS-00155, US",US,Unknown,False,
AS15510,,,Unknown,False,
AS15557,"LDCOMNET --- I3Dnet ---, FR",FR,Unknown,False,
AS156,"NORTHEASTERN-GW-AS, US",US,Unknown,False,
AS15626,,,Unknown,False,
AS157,,,Unknown,False,
AS15734,,,Unknown,False,
AS158,"ERI-AS, US",US,Unknown,False,
AS15805,"SKYNET-CY-AS, CY",CY,Unknown,False,
AS15830,"EQUINIX, NL",NL,Unknown,False,
AS159,,,Unknown,False,
AS15919,,,Unknown,False,
AS16,,,Unknown,False,
AS160,"U-CHICAGO-AS, US",US,Unknown,False,
AS161,"TI-AS, US",US,Unknown,False,
AS16125,"CHERRYSERVERS1-AS, LT",LT,Unknown,False,
AS162,"DNIC-AS-00162, US",US,Unknown,False,
AS16247,"M247-UK M247 UK Ltd, trading as M247, GB",GB,Unknown,False,
AS16262,,,Unknown,False,
AS16276,,,Unknown,False,
AS16284,"Inq-Digital-Nigeria-AS, NG",NG,Unknown,False,
AS163,"IBM-RESEARCH-AS, US",US,Unknown,False,
AS16302,"SUOMICOMMUNICATIONS, FI",FI,Unknown,False,
AS16397,,,Unknown,False,
AS164,"DNIC-AS-00164, US",US,Unknown,False,
AS165,,,Unknown,False,
AS16509,"AMAZON-02, US",US,Unknown,False,
AS16535,,,Unknown,False,
AS166,,,Unknown,False,
AS16628,"DEDICATED-FIBER-COMMUNICATIONS, US",US,Unknown,False,
AS167,,,Unknown,False,
AS16724,"WOW-DATACENTER-NET, US",US,Unknown,False,
AS168,,,Unknown,False,
AS16862,"ODESSA-COLLEGE-JUNIOR-COLLEGE-DISTRICT, US",US,Unknown,False,
AS16892,,,Unknown,False,
AS169,"HANSCOM-NET-AS, US",US,Unknown,False,
AS16973,"T-Four Services S.A, CR",CR,Unknown,False,
AS17,,,Unknown,False,
AS170,"DNIC-AS-00170, US",US,Unknown,False,
AS17019,"UNREAL-SERVERS, US",US,Unknown,False,
AS171,"SOX-RES, US",US,Unknown,False,
AS172,"DNIC-AS-00172, US",US,Unknown,False,
AS17216,,,Unknown,False,
AS173,"NTTECL-AS Nippon Telegraph and Telephone Corporation, JP",JP,Unknown,False,
AS174,"COGENT-174, US",US,Unknown,False,
AS17439,,,Unknown,False,
AS17447,"NET4-IN Net4India Ltd, IN",IN,Unknown,False,
AS175,"PL-AS, US",US,Unknown,False,
AS176,,,Unknown,False,
AS17669,"AC3-AS-AP ac3, Australian Centre for Advanced Computing and Communications, AU",AU,Unknown,False,
AS177,,,Unknown,False,
AS178,"UMICH-AS-2, US",US,Unknown,False,
AS17881,,,Unknown,False,
AS17884,"UNINET-AP PT. Uninet Media Sakti ISP, ID",ID,Unknown,False,
AS179,"UMICH-AS-3, US",US,Unknown,False,
AS17918,"AC3-AS-AP ac3, Australian Centre for Advanced Computing and Communications, AU",AU,Unknown,False,
AS17971,,,Unknown,False,
AS17994,,,Unknown,False,
AS18,,,Unknown,False,
AS180,,,Unknown,False,
AS181,,,Unknown,False,
AS18120,,,Unknown,False,
AS182,,,Unknown,False,
AS183,,,Unknown,False,
AS18345,"SERVERS-AUS-CUST Servers Australia Customers, AU",AU,Unknown,False,
AS184,"MERIT-AS-4, US",US,Unknown,False,
AS18450,,,Unknown,False,
AS185,"MERIT-AS-5, US",US,Unknown,False,
AS18570,,,Unknown,False,
AS186,,,Unknown,False,
AS187,,,Unknown,False,
AS18779,,,Unknown,False,
AS188,,,Unknown,False,
AS189,,,Unknown,False,
AS18978,"ENZUINC-, US",US,Unknown,False,
AS19,"LEIDOS-AS, US",US,Unknown,False,
AS190,,,Unknown,False,
AS19084,"COLOUP, US",US,Unknown,False,
AS191,"DNIC-AS-00191, US",US,Unknown,False,
AS19133,"BIRD-HOSTING, US",US,Unknown,False,
AS19148,,,Unknown,False,
AS192,"ROCHINSTTECH, US",US,Unknown,False,
AS19234,,,Unknown,False,
AS193,"FORD-ASN, US",US,Unknown,False,
AS19318,,,Unknown,False,
AS194,"NCAR-AS, US",US,Unknown,False,
AS19437,"SS-ASH, US",US,Unknown,False,
AS195,,,Unknown,False,
AS19531,,,Unknown,False,
AS19575,"ISPNET, US",US,Unknown,False,
AS196,"BOEING196, US",US,Unknown,False,
AS19624,"SERVERROOM, US",US,Unknown,False,
AS196645,,,Unknown,False,
AS196745,,,Unknown,False,
AS196827,,,Unknown,False,
AS197,"RAYTHEON-AS-2, US",US,Unknown,False,
AS197071,"ACTIVE-SERVERS active-servers.com, DE",DE,Unknown,False,
AS197155,"ARTNET, PL",PL,Unknown,False,
AS197328,,,Unknown,False,
AS197395,"HOSTGHOST-AS, NL",NL,Unknown,False,
AS197439,"SYLON, CH",CH,Unknown,False,
AS197450,,,Unknown,False,
AS197477,"NERDSCAVE, DE",DE,Unknown,False,
AS197540,"NETCUP-AS netcup GmbH, DE",DE,Unknown,False,
AS197555,"SMARTMIETEN, IN",IN,Unknown,False,
AS197648,"CL8ASN1, CY",CY,Unknown,False,
AS197695,,,Unknown,False,
AS197706,,,Unknown,False,
AS197854,"EISENIA-AS, SE",SE,Unknown,False,
AS197902,"HOSTNET, NL",NL,Unknown,False,
AS197914,"ECRITEL-FRANCE-DEFCON Ecritel France - DEFCON, FR",FR,Unknown,False,
AS198,"DNIC-AS-00198, US",US,Unknown,False,
AS198037,"SPACECORE, GB",GB,Unknown,False,
AS198047,"UKWEB-EQX, DE",DE,Unknown,False,
AS198134,,,Unknown,False,
AS198153,"DCSTD-SEIDOR AS SEIDOR DATACENTER SANTANDER, ES",ES,Unknown,False,
AS198171,,,Unknown,False,
AS198313,"SYSTEMHOST, GB",GB,Unknown,False,
AS198347,,,Unknown,False,
AS198351,,,Unknown,False,
AS198371,,,Unknown,False,
AS198414,"BIZNESHOST-AS, PL",PL,Unknown,False,
AS198432,,,Unknown,False,
AS19844,"SBA-EDGE-JAX, US",US,Unknown,False,
AS198571,,,Unknown,False,
AS198584,,,Unknown,False,
AS198605,"AVAST-AS-DC Gen Digital dba as Avast, CZ",CZ,Unknown,False,
AS198644,"GO6, SI",SI,Unknown,False,
AS198651,"HOSTLINE, LT",LT,Unknown,False,
AS19871,,,Unknown,False,
AS198831,"HOLYCLOUD HOLYCLOUD, FR",FR,Unknown,False,
AS198890,,,Unknown,False,
AS198926,"FAZEL, IR",IR,Unknown,False,
AS198953,"PROTON66, RU",RU,Unknown,False,
AS198968,,,Unknown,False,
AS198981,"NETSHIELD-BYOIP, GB",GB,Unknown,False,
AS198983,"TORNADODATACENTER, DE",DE,Unknown,False,
AS199,,,Unknown,False,
AS199058,"SERVAONE, GB",GB,Unknown,False,
AS199129,,,Unknown,False,
AS199213,"HOSTERSAS, DK",DK,Unknown,False,
AS199218,"PROTONVPN-2, CH",CH,Unknown,False,
AS199414,,,Unknown,False,
AS199420,,,Unknown,False,
AS199481,"K3-RIPE-AS, GB",GB,Unknown,False,
AS199524,"GCORE, LU",LU,Unknown,False,
AS199614,"FICITY-AS-01, GB",GB,Unknown,False,
AS199653,,,Unknown,False,
AS199654,"OXIDE-GROUP-LIMITED Oxide Group Limited, GB",GB,Unknown,False,
AS199669,"ATLEX-AS, RU",RU,Unknown,False,
AS19969,"JOESDATACENTER, US",US,Unknown,False,
AS199733,,,Unknown,False,
AS199785,"CHSN-AS, GB",GB,Unknown,False,
AS199834,"IPSOLUS, SC",SC,Unknown,False,
AS199883,"ARUBACLOUDLTD-ASN, IT",IT,Unknown,False,
AS199990,,,Unknown,False,
AS199997,"IPPON_HOSTING-AS, FR",FR,Unknown,False,
AS2,"UDEL-DCN, US",US,Unknown,False,
AS20,,,Unknown,False,
AS200,"CENTURYLINK-LEGACY-LVLT-200, US",US,Unknown,False,
AS200000,,,Unknown,False,
AS200010,,,Unknown,False,
AS200019,,,Unknown,False,
AS200039,"HYDRACOM-AS, GB",GB,Unknown,False,
AS200081,"SIM-NETWORKS, DE",DE,Unknown,False,
AS2001,"AS-NALCO-MPLS, US",US,Unknown,False,
AS200130,,,Unknown,False,
AS200136,"LIBRAHOST, FR",FR,Unknown,False,
AS200147,"ASHTL, GB",GB,Unknown,False,
AS200195,"VERASEL, SC",SC,Unknown,False,
AS2002,,,Unknown,False,
AS20021,"LNH-INC, US",US,Unknown,False,
AS200373,,,Unknown,False,
AS200482,,,Unknown,False,
AS200532,,,Unknown,False,
AS200593,"PROSPERO-AS, RU",RU,Unknown,False,
AS20068,"HAWKHOST, CA",CA,Unknown,False,
AS200698,,,Unknown,False,
AS200699,,,Unknown,False,
AS200899,"INTERSPACE-EUROPE, MK",MK,Unknown,False,
AS200904,"FOXCLOUD, GB",GB,Unknown,False,
AS201,"CENTURYLINK-LEGACY-LVLT-201, US",US,Unknown,False,
AS201011,,,Unknown,False,
AS201200,"SUPERHOSTING_AS, BG",BG,Unknown,False,
AS201211,"DRUGOYTEL-AS, RU",RU,Unknown,False,
AS201229,,,Unknown,False,
AS201249,"IPRO, AL",AL,Unknown,False,
AS201292,,,Unknown,False,
AS201380,"ALFABISNES-AS, UA",UA,Unknown,False,
AS201409,,,Unknown,False,
AS201449,,,Unknown,False,
AS201525,,,Unknown,False,
AS201553,"VOLA, ES",ES,Unknown,False,
AS201572,"EKO-INICIATIVE-AS, UA",UA,Unknown,False,
AS201597,,,Unknown,False,
AS201626,"PODILLIA-AS, UA",UA,Unknown,False,
AS201630,,,Unknown,False,
AS201682,,,Unknown,False,
AS201702,,,Unknown,False,
AS201709,"HANDS, DE",DE,Unknown,False,
AS201813,"LEXISTARALLIANCELTD Allocated to Lexistar Alliance LTD, MD",MD,Unknown,False,
AS201814,"MEVSPACE, PL",PL,Unknown,False,
AS201836,"GARANT-AS, UA",UA,Unknown,False,
AS201862,"VMHOSTS-LONDON-AS, GB",GB,Unknown,False,
AS201924,"LERTAS-AS, SK",SK,Unknown,False,
AS201983,"ANSLUTEN-AS, SE",SE,Unknown,False,
AS202,,,Unknown,False,
AS202015,,,Unknown,False,
AS202018,,,Unknown,False,
AS202023,"OSP-AS, FR",FR,Unknown,False,
AS202053,"UPCLOUD, FI",FI,Unknown,False,
AS202109,,,Unknown,False,
AS202144,,,Unknown,False,
AS202171,,,Unknown,False,
AS202267,"DOBROSVIT-AS, UA",UA,Unknown,False,
AS202302,"NETH-AS, UA",UA,Unknown,False,
AS202306,,,Unknown,False,
AS202318,,,Unknown,False,
AS202325,,,Unknown,False,
AS202383,"EL-K-STIL-AS, UA",UA,Unknown,False,
AS202388,"CLUB-NADIYA-AS, UA",UA,Unknown,False,
AS202425,"INT-NETWORK, SC",SC,Unknown,False,
AS202469,"CLOUD, MD",MD,Unknown,False,
AS202470,,,Unknown,False,
AS20248,"TAKE2, US",US,Unknown,False,
AS202481,"REAPOLIS-AS, UA",UA,Unknown,False,
AS202511,,,Unknown,False,
AS202592,,,Unknown,False,
AS20264,,,Unknown,False,
AS202656,,,Unknown,False,
AS2027,"MILKYWAN MilkyWan, FR",FR,Unknown,False,
AS20278,"NEXEON, US",US,Unknown,False,
AS202822,"UPNET-IT-SRL, MD",MD,Unknown,False,
AS202836,,,Unknown,False,
AS202943,"SC_SNL_PANIFCOM_SRL, MD",MD,Unknown,False,
AS202960,"DONTU-PRIM-AS, MD",MD,Unknown,False,
AS202965,,,Unknown,False,
AS203,"CENTURYLINK-LEGACY-LVLT-203, US",US,Unknown,False,
AS203020,"HOSTROYALE, IN",IN,Unknown,False,
AS203025,,,Unknown,False,
AS203120,"GTGL, US",US,Unknown,False,
AS203363,,,Unknown,False,
AS203391,,,Unknown,False,
AS203523,"SAYHUNNET-AS, TJ",TJ,Unknown,False,
AS203624,,,Unknown,False,
AS203629,,,Unknown,False,
AS203728,,,Unknown,False,
AS203950,"LEXISTARALLIANCELTD Allocated to Lexistar Alliance LTD, MD",MD,Unknown,False,
AS203959,,,Unknown,False,
AS203999,"GEEKYWORKS, IN",IN,Unknown,False,
AS204,,,Unknown,False,
AS204007,,,Unknown,False,
AS20401,,,Unknown,False,
AS204057,,,Unknown,False,
AS204094,"I4W, PT",PT,Unknown,False,
AS204196,,,Unknown,False,
AS204287,"HOSTROYALE_TECHNOLOGIES, IN",IN,Unknown,False,
AS204333,"REJECTY REJECTY.COM, CH",CH,Unknown,False,
AS204428,,,Unknown,False,
AS20448,"SCIPIO-TECH-20448, US",US,Unknown,False,
AS204487,"R179, DE",DE,Unknown,False,
AS204490,"ASKONTEL, RU",RU,Unknown,False,
AS20450,,,Unknown,False,
AS204502,,,Unknown,False,
AS20454,,,Unknown,False,
AS204548,"CLOUDWEBMANAGE-IL-FR, US",US,Unknown,False,
AS204552,,,Unknown,False,
AS204615,,,Unknown,False,
AS204646,"W2O-PRIVATE-CUSTOMER-ASN, DE",DE,Unknown,False,
AS20473,"AS-VULTR, US",US,Unknown,False,
