domain,priority,reason
282gmail.co.com,1,Combo-squat: gmail
288gmail.com,1,Combo-squat: gmail
289gmail.com,1,Combo-squat: gmail
28gmail.com,1,Combo-squat: gmail
290gmail.com,1,Combo-squat: gmail
292gmail.com,1,Combo-squat: gmail
293gmail.com,1,Combo-squat: gmail
295gmail.com,1,Combo-squat: gmail
299gmail.com,1,Combo-squat: gmail
29gmail.com,1,Combo-squat: gmail
2allstate.com,1,Combo-squat: allstate
2amazon.com,1,Combo-squat: amazon
2apple.com,1,Combo-squat: apple
2azure.com,1,Combo-squat: azure
2dgate.com,1,Combo-squat: gate
2fwww.finance.google.com.mailfranco.com,1,Combo-squat: google
2zoom.us,1,Combo-squat: zoom
300gmail.com,1,Combo-squat: gmail
301gmail.com,1,Combo-squat: gmail
302gmail.com,1,Combo-squat: gmail
303gmail.com,1,Combo-squat: gmail
304gmail.com,1,Combo-squat: gmail
305gmail.com,1,Combo-squat: gmail
307gmail.com,1,Combo-squat: gmail
308gmail.com,1,Combo-squat: gmail
309gmail.com,1,Combo-squat: gmail
30gmail.com,1,Combo-squat: gmail
310gmail.com,1,Combo-squat: gmail
312gmail.com,1,Combo-squat: gmail
314gmail.com,1,Combo-squat: gmail
315gmail.com,1,Combo-squat: gmail
318gmail.com,1,Combo-squat: gmail
31gmail.com,1,Combo-squat: gmail
321gmail.com,1,Combo-squat: gmail
323gmail.com,1,Combo-squat: gmail
324gmail.com,1,Combo-squat: gmail
32gmail.com,1,Combo-squat: gmail
330gmail.com,1,Combo-squat: gmail
333gmail.com,1,Combo-squat: gmail
334gmail.com,1,Combo-squat: gmail
335gmail.com,1,Combo-squat: gmail
336gmail.com,1,Combo-squat: gmail
337gmail.com,1,Combo-squat: gmail
338gmail.com,1,Combo-squat: gmail
33gmail.com,1,Combo-squat: gmail
341gmail.com,1,Combo-squat: gmail
342gmail.com,1,Combo-squat: gmail
343gmail.com,1,Combo-squat: gmail
344gmail.com,1,Combo-squat: gmail
345gmail.com,1,Combo-squat: gmail
346gmail.com,1,Combo-squat: gmail
347gmail.com,1,Combo-squat: gmail
34gmail.com,1,Combo-squat: gmail
350gmail.com,1,Combo-squat: gmail
351gmail.com,1,Combo-squat: gmail
353gmail.com,1,Combo-squat: gmail
356gmail.com,1,Combo-squat: gmail
35gmail.com,1,Combo-squat: gmail
360gmail.com,1,Combo-squat: gmail
362gmail.com,1,Combo-squat: gmail
363gmail.com,1,Combo-squat: gmail
364gmail.com,1,Combo-squat: gmail
367gmail.com,1,Combo-squat: gmail
369gmail.com,1,Combo-squat: gmail
36gmail.com,1,Combo-squat: gmail
372gmail.com,1,Combo-squat: gmail
374gmail.com,1,Combo-squat: gmail
377gmail.com,1,Combo-squat: gmail
37gmail.com,1,Combo-squat: gmail
380gmail.com,1,Combo-squat: gmail
381gmail.com,1,Combo-squat: gmail
383gmail.com,1,Combo-squat: gmail
385gmail.com,1,Combo-squat: gmail
386gmail.com,1,Combo-squat: gmail
38gmail.com,1,Combo-squat: gmail
390gmail.com,1,Combo-squat: gmail
392gmail.com,1,Combo-squat: gmail
394gmail.com,1,Combo-squat: gmail
398gmail.com,1,Combo-squat: gmail
39gmail.com,1,Combo-squat: gmail
3dsgateway.eu,1,Combo-squat: gate
3etrade.com,1,Combo-squat: etrade
3exodus.com,1,Combo-squat: exodus
3wellsfargo.com,1,Combo-squat: wellsfargo
3zoom.us,1,Combo-squat: zoom
400gmail.com,1,Combo-squat: gmail
401gmail.com,1,Combo-squat: gmail
402gmail.com,1,Combo-squat: gmail
405gmail.com,1,Combo-squat: gmail
411gmail.com,1,Combo-squat: gmail
413gmail.com,1,Combo-squat: gmail
416gmail.com,1,Combo-squat: gmail
417gmail.com,1,Combo-squat: gmail
41gmail.com,1,Combo-squat: gmail
420gmail.com,1,Combo-squat: gmail
423gmail.com,1,Combo-squat: gmail
424gmail.com,1,Combo-squat: gmail
425gmail.com,1,Combo-squat: gmail
427gmail.com,1,Combo-squat: gmail
428gmail.com,1,Combo-squat: gmail
42gmail.com,1,Combo-squat: gmail
430gmail.com,1,Combo-squat: gmail
432gmail.com,1,Combo-squat: gmail
435gmail.com,1,Combo-squat: gmail
436gmail.com,1,Combo-squat: gmail
439gmail.com,1,Combo-squat: gmail
43gmail.com,1,Combo-squat: gmail
440gmail.com,1,Combo-squat: gmail
442gmail.com,1,Combo-squat: gmail
443gmail.com,1,Combo-squat: gmail
4444gmail.com,1,Combo-squat: gmail
447gmail.com,1,Combo-squat: gmail
448gmail.com,1,Combo-squat: gmail
449gmail.com,1,Combo-squat: gmail
44gmail.com,1,Combo-squat: gmail
