ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance
81.17.121.3,nordvpn,confirmed,IT,Palermo,wireguard,AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",nordvpn_api,2026-04-22,it292.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.121.5,nordvpn,confirmed,IT,Palermo,wireguard,AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",nordvpn_api,2026-04-22,it293.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.121.7,nordvpn,confirmed,IT,Palermo,wireguard,AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",nordvpn_api,2026-04-22,it294.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.121.9,nordvpn,confirmed,IT,Palermo,wireguard,AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",nordvpn_api,2026-04-22,it295.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.121.11,nordvpn,confirmed,IT,Palermo,wireguard,AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",nordvpn_api,2026-04-22,it296.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.121.13,nordvpn,confirmed,IT,Palermo,wireguard,AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",nordvpn_api,2026-04-22,it297.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.121.15,nordvpn,confirmed,IT,Palermo,wireguard,AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",nordvpn_api,2026-04-22,it298.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.121.17,nordvpn,confirmed,IT,Palermo,wireguard,AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",nordvpn_api,2026-04-22,it299.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.121.19,nordvpn,confirmed,IT,Palermo,wireguard,AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",nordvpn_api,2026-04-22,it300.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.121.21,nordvpn,confirmed,IT,Palermo,wireguard,AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",nordvpn_api,2026-04-22,it301.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.121.23,nordvpn,confirmed,IT,Palermo,wireguard,AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",nordvpn_api,2026-04-22,it302.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
194.116.208.26,nordvpn,confirmed,GR,Athens,wireguard,AS203020,"HOSTROYALE, IN",nordvpn_api,2026-04-22,gr68.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
93.114.129.126,nordvpn,confirmed,GB,London,wireguard,AS25369,"BANDWIDTH-AS, GB",nordvpn_api,2026-04-22,uk1719.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
93.114.129.128,nordvpn,confirmed,GB,London,wireguard,AS25369,"BANDWIDTH-AS, GB",nordvpn_api,2026-04-22,uk1720.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
138.199.63.175,nordvpn,confirmed,GB,London,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,uk1721.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
138.199.63.177,nordvpn,confirmed,GB,London,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,uk1722.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
138.199.63.170,nordvpn,confirmed,GB,London,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,uk1723.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
138.199.63.172,nordvpn,confirmed,GB,London,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,uk1724.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
138.199.63.165,nordvpn,confirmed,GB,London,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,uk1725.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
138.199.63.167,nordvpn,confirmed,GB,London,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,uk1726.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
138.199.63.221,nordvpn,confirmed,GB,London,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,uk1727.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
138.199.63.223,nordvpn,confirmed,GB,London,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,uk1728.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
156.146.45.242,nordvpn,confirmed,HK,Hong Kong,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,hk319.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
156.146.45.244,nordvpn,confirmed,HK,Hong Kong,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,hk320.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.122.7,nordvpn,confirmed,IN,Mumbai,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,in161.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.122.8,nordvpn,confirmed,IN,Mumbai,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,in162.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
138.199.21.177,nordvpn,confirmed,JP,Tokyo,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,jp731.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
138.199.21.179,nordvpn,confirmed,JP,Tokyo,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,jp732.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
193.19.206.65,nordvpn,confirmed,US,Chicago,wireguard,AS207990,"HR-CUSTOMER, IN",nordvpn_api,2026-04-22,socks-us34.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
193.19.206.20,nordvpn,confirmed,US,Chicago,wireguard,AS207990,"HR-CUSTOMER, IN",nordvpn_api,2026-04-22,socks-us35.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
193.19.206.25,nordvpn,confirmed,US,Chicago,wireguard,AS207990,"HR-CUSTOMER, IN",nordvpn_api,2026-04-22,socks-us36.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
193.19.206.30,nordvpn,confirmed,US,Chicago,wireguard,AS207990,"HR-CUSTOMER, IN",nordvpn_api,2026-04-22,socks-us37.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
193.19.206.35,nordvpn,confirmed,US,Chicago,wireguard,AS207990,"HR-CUSTOMER, IN",nordvpn_api,2026-04-22,socks-us38.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
193.19.206.40,nordvpn,confirmed,US,Chicago,wireguard,AS207990,"HR-CUSTOMER, IN",nordvpn_api,2026-04-22,socks-us39.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
193.19.206.45,nordvpn,confirmed,US,Chicago,wireguard,AS207990,"HR-CUSTOMER, IN",nordvpn_api,2026-04-22,socks-us40.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
193.19.206.50,nordvpn,confirmed,US,Chicago,wireguard,AS207990,"HR-CUSTOMER, IN",nordvpn_api,2026-04-22,socks-us41.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
193.19.206.55,nordvpn,confirmed,US,Chicago,wireguard,AS207990,"HR-CUSTOMER, IN",nordvpn_api,2026-04-22,socks-us42.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
193.19.206.60,nordvpn,confirmed,US,Chicago,wireguard,AS207990,"HR-CUSTOMER, IN",nordvpn_api,2026-04-22,socks-us43.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
156.146.45.247,nordvpn,confirmed,HK,Hong Kong,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,hk321.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
156.146.45.249,nordvpn,confirmed,HK,Hong Kong,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,hk322.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
