ip,prefix,provider,asn,asn_name,source_date,score_prehire,tier_prehire,score_posthire,tier_posthire,first_seen,last_seen,active
46.19.136.226,,mullvad,AS51852,"PLI-AS - Private Layer INC, PA",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
138.199.6.194,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
138.199.6.207,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
138.199.6.233,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
135.136.18.194,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
77.243.184.2,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
77.243.184.130,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
149.88.104.2,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
149.88.104.15,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
154.47.16.34,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
154.47.16.47,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
195.47.194.131,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
195.47.194.161,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
217.138.199.106,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.129.98,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.129.130,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
178.249.209.162,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
178.249.209.175,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.248.66,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.248.67,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.248.68,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.248.69,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
152.233.51.3,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-07-28,2026-08-06,true
152.233.51.33,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-07-29,2026-08-06,true
152.233.51.63,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-07-28,2026-08-06,true
185.254.75.3,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.254.75.4,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.254.75.5,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.213.155.73,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.213.155.74,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.209.196.73,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.209.196.74,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.209.196.75,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.117.2,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.117.130,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
135.136.19.2,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
135.136.19.130,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
147.78.240.3,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-08-06,2026-08-06,true
147.78.240.190,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-08-06,2026-08-06,true
176.119.150.3,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-08-06,2026-08-06,true
194.36.25.33,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
169.150.201.2,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
169.150.201.15,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
169.150.201.28,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
45.129.56.67,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
149.88.109.73,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.197.194,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.197.130,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
