ASN,Name,Country
AS57403,"HAZI, RO",RO
AS42621,"LPOK-AS, FI",FI
AS2162,"HPINC, US",US
AS2116,"GLOBALCONNECT-, NO",NO
AS30633,"LEASEWEB-USA-WDC, US",US
AS207781,"MCL-AS Marcel Menzel, DE",DE
AS2121,"RIPE-MEETING-AS, NL",NL
AS43902,"SYSELEVEN-AS43902 SysEleven GmbH, DE",DE
AS9063,"SAARGATE-AS VSE NET GmbH, DE",DE
AS2907,"SINET-AS Research Organization of Information and Systems, National Institute of Informatics, JP",JP
AS41164,"GET-NO GET Norway, NO",NO
AS4892,"APPLIEDUK-CLOUD-04, US",US
AS399532,"ULAYER-AS, US",US
AS31148,"FREENET_LLC, UA",UA
AS17547,"M1NET-SG-AP M1 NET LTD, SG",SG
AS11550,"SDL-20-AS, US",US
AS553,"BELWUE BelWue-Koordination, DE",DE
AS39608,"LANETUA-AS, UA",UA
AS2055,"LSU, US",US
AS20845,"DIGICABLE, HU",HU
AS3233,"ICI-ROTLD National Institute for Research and Development in Informatics - ICI Bucharest, RO",RO
AS14199,"QED, US",US
AS64073,"VETTA Vetta Online Ltd, NZ",NZ
AS89,"DNIC-AS-00089, US",US
AS884,"GONET-ASN-17, CA",CA
AS41634,"SVEA, SE",SE
AS4922,"SHENTEL, US",US
AS16,"LBL, US",US
AS56300,"MYREPUBLIC-SG MyRepublic Ltd., SG",SG
AS29278,"RACKHOST-HU-AS RACKHOST Zrt., HU",HU
AS209045,"GENESIS-CLOUD-AS, MT",MT
AS206216,"ADVIN-AS, US",US
AS211619,"MAXKO, HR",HR
AS4831,"MELCO-NZ-AS-AP Melco Sales NZ Ltd, NZ",NZ
AS59253,"LEASEWEB-APAC-SIN-11 LEASEWEB SINGAPORE PTE. LTD., SG",SG
AS12759,"SOCO-AS Nordstrasse 102, DE",DE
AS19994,"RACKSPACE, US",US
AS20740,"MESSEFFM Ludwig-Erhard-Anlage 1, DE",DE
AS13036,"TMOBILE-, CZ",CZ
AS24955,"UBN-AS, RU",RU
AS203953,"HIPER, DK",DK
AS201682,"LIQUID-WEB-BV, US",US
AS49042,"-Reserved AS-, ZZ",
AS21334,"ASN-VODAFONE-, HU",HU
AS142036,"HOSTEONS-AS-AP Hosteons Pte. Ltd., SG",SG
AS13233,"SCHOENE-AS, DE",DE
AS12479,"UNI2-AS, ES",ES
AS395089,"HEXTET, CA",CA
AS273,"DNIC-AS-00273, US",US
AS16075,"TAZ-AS taz die tageszeitung autonomous system, DE",DE
AS12576,"EE Ltd, GB",GB
AS200136,"LIBRAHOST, FR",FR
AS4318,"ADC-ASN, US",US
AS33661,"CMCS, US",US
AS212744,"ALINA, DE",DE
AS48721,"FLYSERVERS-ENDCLIENTS, PA",PA
AS2462,"FR-U-ANGERS ASNBLOCK2, EU",EU
AS20832,"FUSE2, GB",GB
AS28753,"LEASEWEB-DE-FRA-10, DE",DE
AS8943,"JUMP, GB",GB
AS807,"FORKSYSTEMS, US",US
AS44486,"SYNLINQ synlinq.de, DE",DE
AS28573,"Claro NXT Telecomunicacoes Ltda, BR",BR
AS20853,"ETOP-AS, PL",PL
AS48031,"XSERVERCLOUD, UA",UA
AS320,"DNIC-ASBLK-00306-00371, US",US
AS7545,"TPG-INTERNET-AP TPG Telecom Limited, AU",AU
AS137085,"ANI89-AS-IN ANO Broadband Service Pvt Ltd, IN",IN
AS13315,"HBSNET, US",US
AS39839,"DK-PUNKTUM The .DK TLD Registry, DK",DK
AS43641,"SOLLUTIUM-NL, PL",PL
AS49889,"CRYSTAL-AS, UA",UA
AS1975,"PROQUEST-AS, US",US
AS149,"DNIC-AS-00149, US",US
AS39737,"PRIME-TELECOM-AS Prime Telecom, RO",RO
AS1781,"KAIST-DAEJEON-AS-KR Korea Advanced Institute of Science and Technology, KR",KR
AS47610,"RWTH-AS, DE",DE
AS250,"SACREDCHAO-AS AS250.net Foundation, EU",EU
AS199950,"HJELM-ENTERPRISES-AB, SE",SE
AS22987,"BRIGHTRIDGE, US",US
AS2094,"FR-TELECOM-MANAGEMENT-SUDPARIS Telecom & Management Sud Paris, EU",EU
AS2535,"BP, US",US
AS13435,"COMMUNITY-HEALTH-CHOICE, US",US
AS1101,"IP-EEND-AS IP-EEND BV, NL",NL
AS903,"UNIFIED-COMMUNICATIONS-TECHNOLOGIES, US",US
AS104,"COLORADO-AS, US",US
AS202759,"FAIRYHOSTING, EE",EE
AS47447,"TTM, DE",DE
AS16276,"OVH, FR",FR
AS49981,"WORLDSTREAM, NL",NL
AS375,"TIETOTIE-AS Keilalahdentie 2-4 02150 Espoo Finland, FI",FI
AS20623,"SAFELINES, IL",IL
AS2110,"AS-BTIRE BT Ireland was previously known as Esat Net, EUnet Ireland & IEUnet., IE",IE
AS5726,"INTERWORLD, US",US
AS210352,"YIJIAXU, CN",CN
AS29141,"BKVG-AS, DE",DE
AS207424,"HYNET Hyena Network AS, BE",BE
AS5974,"DNIC-ASBLK-05800-06055, US",US
AS357,"DNIC-ASBLK-00306-00371, US",US
AS49855,"PLUTEX, DE",DE
AS17858,"POWERVIS-AS-KR LG POWERCOMM, KR",KR
AS195,"SDSC-AS, US",US
AS13537,"MEGACOLO, US",US
AS5385,"RUSSMEDIA-IT, AT",AT
AS41108,"FIRSTROOT-AS, DE",DE
AS13692,"DFN-ASN-1, US",US
AS30722,"VODAFONE-IT-ASN, IT",IT
AS205235,"LABITAT, DK",DK
AS33287,"COMCAST-33287, US",US
AS63997,"TSUKAERUNET Tsukaeru.net, Web Hosting Company, Japan, JP",JP
AS6661,"EPT-LU Entreprise des P. et T. Luxembourg, LU",LU
AS2161,"HPINC, US",US
AS198610,"BEGET-AS, RU",RU
AS20576,"GAZSVYAZ 16, Nametkina street, RU",RU
AS2044,"DF-PTL1, US",US
AS26,"CORNELL, US",US
AS1611,"MABELTEL, US",US
AS40244,"TURNKEY-INTERNET, US",US
AS5026,"LVVWD, US",US
AS20001,"TWC-20001-PACWEST, US",US
AS8,"RICE-AS, US",US
AS35,"MITRE-AS-1, US",US
AS21021,"MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL",PL
AS43350,"NFORCE, NL",NL
AS1916,"Rede Nacional de Ensino e Pesquisa, BR",BR
AS719,"ELISA-AS ELISA OYJ, FI",FI
AS13744,"THP-BGP, US",US
AS51059,"BRIGHTBOX-AS, GB",GB
AS36493,"295CA-TOR-ASN, CA",CA
AS63,"LL-MI, US",US
AS62240,"CLOUVIDER Clouvider - Global ASN, GB",GB
AS51167,"CONTABO, DE",DE
AS58915,"ARKTISMAPTYLTD-AS-AP Arktisma Pty Ltd, AU",AU
AS11426,"TWC-11426-CAROLINAS, US",US
AS200019,"ALEXHOST, MD",MD
AS49447,"NICEIT, DM",DM
AS200223,"ETHERON, NL",NL
AS51815,"TEKNIKBYRAN, SE",SE
AS63018,"DEDICATED, US",US
AS44034,"HI3G, SE",SE
AS8468,"ENTANET ENTANET International Limited, GB",GB
AS25353,"BAR-AS Weidenweg 235, CH",CH
AS870,"GONET-ASN-17, CA",CA
AS134351,"LEASEWEB-AS-AP Leaseweb Japan K.K., JP",JP
AS20539,"TCRS-AS Sumy, Ukraine, UA",UA
AS20491,"ASWASKO, PL",PL
AS57944,"IPC-AS, UA",UA
AS4364,"IGLOU, US",US
AS634,"DNIC-ASBLK-00616-00665, US",US
AS13541,"SIEMENS-DISW-WIV-B-ORW, US",US
AS34971,"PDDA-AS, IT",IT
AS65,"AF-RASN-65, US",US
AS3060,"SC-YORKTECH, US",US
AS7418,"TELEFONICA CHILE S.A., CL",CL
AS47544,"IQPL-AS, PL",PL
AS3758,"SINGNET SingNet, SG",SG
AS20745,"ASCN, IT",IT
AS16125,"CHERRYSERVERS1-AS, LT",LT
AS45731,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT, ID",ID
AS606,"SCHAT-AS, US",US
AS50349,"TIMPLUS, PL",PL
AS197071,"ACTIVE-SERVERS active-servers.com, DE",DE
AS6703,"ALKAR-AS, UA",UA
AS13483,"INFOR-AS13483, US",US
AS60251,,
AS38136,"AKARI-NETWORKS-AS-AP Akari Networks, HK",HK
AS400771,"CODEHOF, US",US
AS15728,"RMF-KRAKOW-, PL",PL
AS200462,"AS-ETH ETH-Services, DE",DE
AS39742,"ITM, UA",UA
AS1208,"DNIC-AS-01208, US",US
AS32,"STANFORD, US",US
AS197922,"TECHCREA-SOLUTIONS, FR",FR
AS44963,"POTOK-AS, RU",RU
AS8612,"TISCALI-, IT",IT
AS342,"DNIC-ASBLK-00306-00371, US",US
AS2047,"ASN-ROCHE-BASLE Global corporate IP network, CH",CH
AS202131,"WAVE-NET, CZ",CZ
AS85,"AERO-NET, US",US
AS32613,"IWEB-AS, CA",CA
AS210226,"WINDCLOUD40-AS, DE",DE
AS35366,"ISPPRO-AS ISPPRO-AS covers the networks of ISPpro, DE",DE
AS207143,"HOSTTECH-AS, CH",CH
AS54965,"NYU-POLY, US",US
AS2030,"TBCASN2, US",US
AS138062,"IDNIC-PAAS-AS-ID PT. Awan Kilat Semesta, ID",ID
AS8708,"DIGI-ROMANIA 75 Dr. Staicovici, RO",RO
AS1102,"SMEERBOEL-AS SMEERBOEL BV, NL",NL
AS51262,"INTERNETGROUP, CH",CH
AS20005,"SANDHILLS-SA, US",US
AS6128,"CABLE-NET-1, US",US
AS239,"UTORONTO-AS, CA",CA
AS205544,"LEASEWEB-UK-LON-11, GB",GB
AS229,"MERIT-AS-6, US",US
AS206804,"ESTNOC-GLOBAL, EE",EE
AS63267,"FAYETTEVILLEPUBLICUTILITIES-TN, US",US
AS1759,"TSF-IP-CORE Telia Finland Oyj, FI",FI
AS18460,"FHSU, US",US
AS13348,"CIGNA-2, US",US
AS3292,"TDC TDC AS, DK",DK
AS29691,"NINE, CH",CH
AS19201,"ETC, US",US
AS32338,"HOSTISERVER, AI",AI
AS270,"AS270, US",US
AS11427,"TWC-11427-TEXAS, US",US
AS5610,"O2-CZECH-REPUBLIC, CZ",CZ
AS8866,"VIVACOM-AS BULGARIA, BG",BG
AS368,"DNIC-ASBLK-00306-00371, US",US
AS46887,"CROWNCASTLE-AS46887, US",US
AS202662,"Hytron Network Services, HK",HK
AS394380,"LEASEWEB-USA-DAL, US",US
AS4760,"HKTIMS-AP HKT Limited, HK",HK
AS216418,"FSCD-NET, IT",IT
AS33491,"COMCAST-33491, US",US
AS44869,"FIBIA-P-S, DK",DK
AS1,"LVLT-1, US",US
AS17017,"AS-CAMPUSCOLO, US",US
AS42237,"W1N, GB",GB
AS36077,"MEMC-1, US",US
AS1999,"HOUSE-AS-1, US",US
AS5432,"PROXIMUS-ISP-AS, BE",BE
AS6,"BULL-HN, US",US
AS683,"ARGONNE-AS, US",US
AS203394,"-Reserved AS-, ZZ",
AS335,"DNIC-ASBLK-00306-00371, US",US
AS133481,"AIS-FIBRE-AS-AP AIS Fibre, TH",TH
AS135377,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",HK
AS33796,"BNAA-AS, DK",DK
AS30798,"TNNET-AS TNNet Oy Main network, FI",FI
AS3813,"SOGANG-AS-KR Sogang University, KR",KR
AS1221,"ASN-TELSTRA Telstra Limited, AU",AU
AS62336,"PURTEL-AS # Upstream, DE",DE
AS15133,"EDGECAST, US",US
AS28640,"VIPWay Telecomunicacoes Ltda, BR",BR
AS198985,"AQUILENET AQUILENET, FR",FR
AS5650,"FRONTIER-FRTR, US",US
AS3243,"MEO-RESIDENCIAL, PT",PT
AS39375,"TPODLASIE, PL",PL
AS52,"UCLA, US",US
AS12,"NYU-DOMAIN, US",US
AS56067,"METRABYTE-TH 453 Ladplacout Jorakhaebua, TH",TH
AS45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",CN
AS23889,"MauritiusTelecom, MU",MU
AS42275,"THREEFOURTEEN, FR",FR
AS8648,"ONE-NETWORK, DE",DE
AS30600,"AS-CMN, US",US
AS39508,"C07-AS, AT",AT
AS5645,"TEKSAVVY, CA",CA
AS6848,"TELENET-AS, BE",BE
AS10242,"USINTERNET, US",US
AS13022,"STREAMS_GMBH, AT",AT
AS206264,"AMARUTU-TECHNOLOGY, SC",SC
AS22646,"HARCOM1, US",US
AS203727,"BYON, DE",DE
AS3218,"COSMOS-3218-AS AS-COSMOS root, RU",RU
AS57169,"EDIS-AS-EU, AT",AT
AS4181,"TDS-AS, US",US
AS5483,"MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt., HU",HU
AS212027,"PEBBLEHOST, GB",GB
AS198093,"DFRI-AS Foreningen for digitala fri- och rattigheter, SE",SE
AS427,"AFCONC-BLOCK1-AS, US",US
AS48926,"PE3NY-AS, CZ",CZ
AS20101,"MICHWAVE, US",US
AS12093,"UWATERLOO, CA",CA
AS205727,"ARUBAPL-AS, IT",IT
AS399686,"SEMIBAND, US",
AS6302,"AGP-AS1, US",
AS27823,"Dattatec.com, AR",
AS24282,"KIR KAGOYA JAPAN Inc., JP",
AS20708,SKODA-AUTO - SKODA AUTO a.s.,
AS7562,"HCNSEOCHO-AS-KR HCN Dongjak, KR",
AS31034,"ARUBA-ASN, IT",
AS25512,"CDT-AS The Czech Republic, CZ",
AS35100,"PATRIKWEB-CORE, SE",
AS2002,"KYN-GTS, US",
AS4503,"EGINTERLINK, US",
AS46,"RUTGERS, US",
AS208323,APPLIEDPRIVACY-AS - Foundation for Applied Privacy,
AS20676,"PLUSNET *****************, DE",
AS19437,"SS-ASH, US",
AS268581,"QNAX LTDA, BR",
AS56322,"SERVERASTRA-AS, HU",
AS21161,"ASN-BECHTLE Bechtle AG, DE",DE
AS11878,"TZULO, US",
AS210,WEST-NET-WEST,
AS216398,HPI - Hasso Plattner Institut fuer Digital Engineering gGmbH,
AS29119,"SERVIHOSTING-AS AireNetworks, ES",
AS12161,"DAO, US",
AS135411,"REDGRAPESPTELTD-AS-AP Red Grapes Pte Ltd, SG",
AS213,"DNIC-AS-00213, US",US
AS43205,"BULSATCOM-BG-AS Sofia, BG",
AS2527,SO-NET Sony Network Communications Inc.,
AS51681,"DATIUM, ES",
AS6256,CELLCO-PART,
AS1133,"UTWENTE-AS University Twente, NL",
AS4262,CERNET-ASN-BLOCK,
AS6394,DATA-BROADCASTING,
AS4474,TCT-AS,
AS9269,"HKBN-AS-AP Hong Kong Broadband Network Ltd., HK",
AS20302,CITY-OF-PALM-COAST,
AS291,ESNET-EAST,
AS1303,"FR-IDRIS-ORSAY FR, EU",
