pivot_selector,pivot_ip,discovered_domain,source
Backfill,51.68.196.134,whm.low.gg,AlienVault_OTX
Backfill,51.83.47.30,www.test.dz-replay.com,AlienVault_OTX
Backfill,51.83.47.30,test.dz-replay.com,AlienVault_OTX
Backfill,51.91.11.67,grd3v.com,AlienVault_OTX
Backfill,52.24.239.115,webenrollws.us-west-2.stg.zeus.us.idemia.io,AlienVault_OTX
Backfill,52.27.186.129,ipa.josh-baldwin.internal.atiads-dev.tv,AlienVault_OTX
Backfill,52.27.186.129,tremahl-dev.cloudauth.clearpassbeta.com,AlienVault_OTX
Backfill,52.42.22.227,dev.co.apis.mcafee.com,AlienVault_OTX
Backfill,52.42.22.227,jenkins.devnautiluscloud.net,AlienVault_OTX
Backfill,52.42.22.227,jenkins2.tools.mipdevops.net,AlienVault_OTX
Backfill,52.42.22.227,direwolf-2db0473189.herokuapp.com,AlienVault_OTX
Backfill,52.42.22.227,trust3-statu-feature-he-3zvhpq.herokuapp.com,AlienVault_OTX
Backfill,54.187.30.143,smumn.instructure.com,AlienVault_OTX
Backfill,54.187.30.143,canvas-pdx-prod-c269-1136993850.us-west-2.elb.amazonaws.com,AlienVault_OTX
Backfill,54.187.30.143,nio.dev-group4.dev1.app.nile-global.cloud,AlienVault_OTX
Backfill,54.189.254.8,callback-handler-gw-staging.alertaware.com,AlienVault_OTX
Backfill,54.189.254.8,sso.staging.posit.cloud,AlienVault_OTX
Backfill,54.189.254.8,dev.60hertz.io,AlienVault_OTX
Backfill,54.85.246.251,canvas-iad-prod-c35-1200072458.us-east-1.elb.amazonaws.com,AlienVault_OTX
Backfill,54.85.246.251,af-ehost-gateway-ehost-live-pi-external.ehost-live.eislz.com,AlienVault_OTX
Backfill,57.131.39.43,cp-velora.space,AlienVault_OTX
Backfill,68.178.160.11,www.dealishaa.com,AlienVault_OTX
Backfill,68.178.160.11,dealishaa.com,AlienVault_OTX
Backfill,68.178.160.11,www.pokketcafe.com,AlienVault_OTX
Backfill,68.178.160.11,www.sudha.coop,AlienVault_OTX
Backfill,68.178.160.11,sudha.coop,AlienVault_OTX
Backfill,68.178.160.11,demo.brandbadakaro.com,AlienVault_OTX
