ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance
23.234.121.127,mullvad,confirmed,ca,Montreal,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-mtr-wg-304,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.122.2,mullvad,confirmed,ca,Montreal,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-mtr-wg-305,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.122.127,mullvad,confirmed,ca,Montreal,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-mtr-wg-306,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.123.2,mullvad,confirmed,ca,Montreal,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-mtr-wg-307,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.123.127,mullvad,confirmed,ca,Montreal,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-mtr-wg-308,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
178.249.214.2,mullvad,confirmed,ca,Toronto,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,ca-tor-wg-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
178.249.214.15,mullvad,confirmed,ca,Toronto,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,ca-tor-wg-002,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.84.2,mullvad,confirmed,ca,Toronto,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-tor-wg-201,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.84.127,mullvad,confirmed,ca,Toronto,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-tor-wg-202,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.85.2,mullvad,confirmed,ca,Toronto,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-tor-wg-203,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.85.127,mullvad,confirmed,ca,Toronto,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-tor-wg-204,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.86.2,mullvad,confirmed,ca,Toronto,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-tor-wg-205,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.86.127,mullvad,confirmed,ca,Toronto,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-tor-wg-206,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.87.2,mullvad,confirmed,ca,Toronto,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-tor-wg-207,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
104.193.135.196,mullvad,confirmed,ca,Vancouver,wireguard,AS394256,"CLOUDSINGULARITY - Tech Futures Interactive Inc., CA",mullvad_api,2026-04-20,ca-van-wg-201,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
104.193.135.100,mullvad,confirmed,ca,Vancouver,wireguard,AS394256,"CLOUDSINGULARITY - Tech Futures Interactive Inc., CA",mullvad_api,2026-04-20,ca-van-wg-202,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
149.22.81.194,mullvad,confirmed,ca,Vancouver,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,ca-van-wg-301,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
149.22.81.207,mullvad,confirmed,ca,Vancouver,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,ca-van-wg-302,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
38.240.225.36,mullvad,confirmed,ca,Calgary,wireguard,AS394256,"CLOUDSINGULARITY - Tech Futures Interactive Inc., CA",mullvad_api,2026-04-20,ca-yyc-wg-201,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
38.240.225.68,mullvad,confirmed,ca,Calgary,wireguard,AS394256,"CLOUDSINGULARITY - Tech Futures Interactive Inc., CA",mullvad_api,2026-04-20,ca-yyc-wg-202,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
193.32.127.117,mullvad,confirmed,ch,Zurich,bridge,AS39351,"ESAB-AS, SE",mullvad_api,2026-04-20,ch-zrh-br-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
193.32.127.66,mullvad,confirmed,ch,Zurich,wireguard,AS39351,"ESAB-AS, SE",mullvad_api,2026-04-20,ch-zrh-wg-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
193.32.127.67,mullvad,confirmed,ch,Zurich,wireguard,AS39351,"ESAB-AS, SE",mullvad_api,2026-04-20,ch-zrh-wg-002,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
193.32.127.68,mullvad,confirmed,ch,Zurich,wireguard,AS39351,"ESAB-AS, SE",mullvad_api,2026-04-20,ch-zrh-wg-003,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
193.32.127.69,mullvad,confirmed,ch,Zurich,wireguard,AS39351,"ESAB-AS, SE",mullvad_api,2026-04-20,ch-zrh-wg-004,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
193.32.127.70,mullvad,confirmed,ch,Zurich,wireguard,AS39351,"ESAB-AS, SE",mullvad_api,2026-04-20,ch-zrh-wg-005,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
193.32.127.84,mullvad,confirmed,ch,Zurich,wireguard,AS39351,"ESAB-AS, SE",mullvad_api,2026-04-20,ch-zrh-wg-006,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
179.43.189.66,mullvad,confirmed,ch,Zurich,wireguard,AS51852,"PLI-AS, PA",mullvad_api,2026-04-20,ch-zrh-wg-201,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
46.19.136.226,mullvad,confirmed,ch,Zurich,wireguard,AS51852,"PLI-AS, PA",mullvad_api,2026-04-20,ch-zrh-wg-202,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
138.199.6.194,mullvad,confirmed,ch,Zurich,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,ch-zrh-wg-401,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
138.199.6.207,mullvad,confirmed,ch,Zurich,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,ch-zrh-wg-402,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
138.199.6.220,mullvad,confirmed,ch,Zurich,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,ch-zrh-wg-403,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
138.199.6.233,mullvad,confirmed,ch,Zurich,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,ch-zrh-wg-404,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
77.243.184.2,mullvad,confirmed,ch,Zurich,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,ch-zrh-wg-503,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
77.243.184.130,mullvad,confirmed,ch,Zurich,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,ch-zrh-wg-504,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
149.88.104.2,mullvad,confirmed,cl,Santiago,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,cl-scl-wg-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
149.88.104.15,mullvad,confirmed,cl,Santiago,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,cl-scl-wg-002,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
154.47.16.34,mullvad,confirmed,co,Bogota,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,co-bog-wg-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
