ip,port,org,asn,Name,country,city,hostnames,product,version,os,transport,has_auth,risk_level,query_source,discovered_at,shodan_total,data_snippet,is_corporate,matched_org,first_seen,last_seen,days_exposed
106.12.89.4,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Nanjing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908670+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
163.7.0.8,18789,Byteplus Pte. Ltd.,,,Singapore,Singapore,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908684+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
120.48.127.191,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Beijing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908688+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
106.13.164.189,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Nanjing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908698+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
106.12.77.186,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Nanjing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908703+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
82.157.31.19,18789,"Tencent Cloud Computing (Beijing) Co., Ltd",AS45090,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",China,Beijing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908707+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
47.96.86.181,18789,"Aliyun Computing Co., LTD",AS37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",China,Hangzhou,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908716+00:00,0,"HTTP/1.1 200 OK
 Content-Type: text/html; charset=",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
118.196.116.165,18789,"Beijing Volcano Engine Technology Co., Ltd.",,,China,Shanghai,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908721+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
149.28.193.182,18789,"Vultr Holdings, LLC",AS20473,"AS-VULTR - The Constant Company, LLC, US",United States,Santa Clara,149.28.193.182.vultrusercontent.com,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908726+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
120.48.75.139,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Beijing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908730+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
46.62.149.233,18789,Hetzner Online GmbH,AS24940,"HETZNER-AS, DE",Finland,Vaala,static.233.149.62.46.clients.your-server.de,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908735+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
162.43.85.245,18789,XSERVER Inc.,AS131965,"XSERVER Xserver Inc., JP",Japan,Osaka,x162-43-85-245.static.xvps.ne.jp,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908739+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
