domain,ip,shodan_ip,ports,vulns,tags,hostnames,os,priority,reason
citizensvank.com,103.224.182.244,103.224.182.244,80;443,,,megamass.eu;pypl-xaviercarter.club;24ia.tech;my-soccer.club;xtream.vip;t2i.club;celularexpress.com;lb-182-244.above.com;ruyabet435.com,,1,Combo-squat: citi
cc-shopify.com,103.224.182.213,103.224.182.213,80;443,,,megamass.eu;pypl-xaviercarter.club;24ia.tech;my-soccer.club;lb-182-213.above.com;xtream.vip;t2i.club;celularexpress.com;ruyabet435.com,,1,Combo-squat: shopify
cchase.com,,69.162.80.61,,,,,,1,Combo-squat: chase
ccisco.com,,208.125.153.5,,,,,,1,Combo-squat: cisco
ccoincheck.com,,104.21.72.7,,,,,,1,Combo-squat: coincheck
cciti.com,5.39.216.134,5.39.216.134,80;8080;53;1022;8053,,,,Linux,1,Combo-squat: citi
centenes.com,198.49.23.145,198.49.23.145,80;443,,,theorize.com,,1,Combo-squat: centene
ciscov.com,198.49.23.145,198.49.23.145,80;443,,,theorize.com,,1,Combo-squat: cisco
centenex.com,192.200.160.20,192.200.160.20,8080;2082;2083;2052;2053;2086;2087;2095;80;8880;8443;443,,cdn,,,1,Combo-squat: centene
cdeepl.com,185.150.189.29,185.150.189.29,80;8080;443;53,,,roosterwings.com,,1,Combo-squat: deepl
ccitizensbank.com,,212.7.194.53,,,,,,1,Combo-squat: citizensbank
chase2.com,216.40.34.41,216.40.34.41,80,,,,,1,Combo-squat: chase
chase4.com,,184.168.221.56,,,,,,1,Combo-squat: chase
chasecom.com,70.32.29.37,70.32.29.37,2080;993;2082;2083;2086;2087;110;80;21;25;443;7822,CVE-2023-51385;CVE-2016-20012;CVE-2018-15919;CVE-2017-15906;CVE-2021-36368;CVE-2025-26465;CVE-2023-51767;CVE-2018-20685;CVE-2018-15473;CVE-2020-14145;CVE-2020-15778;CVE-2023-48795;CVE-2023-38408;CVE-2007-2768;CVE-2008-3844;CVE-2019-6111;CVE-2019-6110;CVE-2021-41617;CVE-2025-32728;CVE-2019-6109,starttls,mail.mi3-ts14.a2hosting.com;www.mi3-ts14.a2hosting.com;mi3-wss9.a2hosting.com;mi3-ts14.a2hosting.com;jmtservicesllc.com;ipv6.mi3-ts14.a2hosting.com,,1,Combo-squat: chase
chaseharnack.com,,172.67.164.69,,,,,,1,Combo-squat: chase
chaseb.com,103.224.212.207,103.224.212.207,80;443,,,megamass.eu;lb-212-207.above.com;pypl-xaviercarter.club;24ia.tech;my-soccer.club;xtream.vip;t2i.club;celularexpress.com;ruyabet435.com,,1,Combo-squat: chase
cdropbox.com,64.31.3.229,64.31.3.229,8080;80;53;443;8444;1022,,,229-3-31-64.static.reverse.lstn.net,,1,Combo-squat: dropbox
citizensbsnk.com,64.31.3.229,64.31.3.229,8080;80;53;443;8444;1022,,,229-3-31-64.static.reverse.lstn.net,,1,Combo-squat: citi
chasei.com,,141.8.225.76,,,,,,1,Combo-squat: chase
chasek.com,162.241.218.112,162.241.218.112,993;2082;995;2222;2086;2087;3306;587;110;143;80;465;2083;21;22;5432;26;443;2096;2077;53,CVE-2016-20012;CVE-2021-36368;CVE-2025-26465;CVE-2025-67896;CVE-2025-32728;CVE-2023-51767;CVE-2023-48795;CVE-2023-38408;CVE-2007-2768;CVE-2008-3844;CVE-2023-51385;CVE-2024-6387;CVE-2021-41617,database;eol-product;starttls,autodiscover.farfromshore.com;mail.farfromshore.com;webdisk.farfromshore.com;box5558.bluehost.com;farfromshore.waterrated.com;cpcontacts.farfromshore.com;bluehost.com;webmail.farfromshore.com;www.farfromshore.com;cpanel.farfromshore.com;www.farfromshore.waterrated.com;farfromshore.com;cpcalendars.farfromshore.com,,1,Combo-squat: chase
chasel.com,66.96.149.32,66.96.149.32,80;443,,,32.149.96.66.static.eigbox.net;bizland.com,,1,Combo-squat: chase
chaseu.com,35.71.150.51,35.71.150.51,80;443,,cloud,abf03be9fc0ac0de9.awsglobalaccelerator.com,,1,Combo-squat: chase
chasex.com,,64.187.239.229,,,,,,1,Combo-squat: chase
chatgpt-ar.com,,172.67.143.203,,,,,,1,Combo-squat: chatgpt
chatgpt.allchats.ai,172.67.188.66,172.67.188.66,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,,,1,Combo-squat: chatgpt
chasem.com,78.41.207.27,78.41.207.27,80;8080;53,,,xhlesbas.hosted-by-snel.com,,1,Combo-squat: chase
citizensbanl.com,78.41.207.27,78.41.207.27,80;8080;53,,,xhlesbas.hosted-by-snel.com,,1,Combo-squat: citi
chasew.com,212.92.105.232,212.92.105.232,80;8080;443;53,,,,,1,Combo-squat: chase
