mx_host,domain_count,primary_asn
tryninja.io,53,"AS63949 (AKAMAI-LINODE-AP - Akamai Connected Cloud, SG)"
mx.yandex.ru,52,AS13238 (YANDEX - YANDEX LLC)
parkmail.dynadot.com,51,"AS36086 (TELX-LEGACY - Telx, US)"
domain-us-1.getmx.com,51,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
la4.inquirymailer.com,50,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx1.emailsrvr.com,50,"AS27357 (RACKSPACE - Rackspace Hosting, US)"
us-smtp-inbound-1.mimecast.com,50,"AS30031 (MIMECAST-US - Mimecast North America Inc, US)"
mx01.ionos.com,49,"AS8560 (IONOS-AS - IONOS SE, DE)"
emx.mail.ru,49,"AS47764 (VK-AS - LLC VK, RU)"
mail.tazza.me,49,
mx1.hosting.reg.ru,48,"AS197695 (AS-REGRU - _Domain names registrar REG.RU_, Ltd, RU)"
alltheemails.com,47,"AS8860 (DELTA-BG-AS - Delta HighTech Ltd., BG)"
mx2.efwd.spaceship.net,46,"AS22612 (NAMECHEAP-NET - Namecheap, Inc., US)"
mx1.efwd.spaceship.net,45,"AS22612 (NAMECHEAP-NET - Namecheap, Inc., US)"
mailgw.ns36.de,45,
onsensmail.com,45,"AS213702 (QWINS-LTD - QWINS LTD, GB)"
eml.monster,45,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
smtp.trashmail.com,44,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
smtpin.rzone.de,43,"AS6724 (STRATO - Strato GmbH, DE)"
mx1.darkvilto.biz,41,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mail.z4mails.com,41,"AS200514 (KnownSRV - KnownSRV Ltd., GB)"
mail.tempmail.id.vn,40,"AS45899 (VNPT-AS-VN - VNPT Corp, VN)"
mx1.feishu.cn,39,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
tja.papierkorb.me,39,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
silicoflagmail.com,39,"AS213702 (QWINS-LTD - QWINS LTD, GB)"
mx01.emig.gmx.net,39,"AS8560 (IONOS-AS - IONOS SE, DE)"
aspmx1.migadu.com,38,"AS16276 (OVH - OVH SAS, FR)"
mx4.mail.ovh.net,38,"AS16276 (OVH - OVH SAS, FR)"
gourmet7.spamgourmet.com,37,"AS10439 (CARINET - CariNet, Inc., US)"
mx4.emailowl.com,37,"AS20473 (AS-VULTR - The Constant Company, LLC, US)"
mx00.emig.gmx.net,36,"AS8560 (IONOS-AS - IONOS SE, DE)"
smtp.getontheweb.com,36,"AS396982 (GOOGLE-CLOUD-PLATFORM - Google LLC, US)"
mx4.arrivalserver.com,35,"AS213230 (HETZNER-CLOUD2-AS - Hetzner Online GmbH, DE)"
mx01.ionos.de,34,"AS8560 (IONOS-AS - IONOS SE, DE)"
mailserver.purelymail.com,34,"AS14618 (AMAZON-AES - Amazon.com, Inc., US)"
mailnesia.com,33,"AS29802 (HVC-AS - HIVELOCITY, Inc., US)"
mx4.beavis99.net,33,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
void.blackhole.mx,31,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mxb-00169c01.gslb.pphosted.com,30,"AS22843 (PROOFPOINT-ASN-US-EAST - Proofpoint, Inc., US)"
mx4.mb1p.com,29,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx.zoho.in,29,"AS56201 (ZOHO-IN - Zoho Corporation Pvt. Ltd,, IN)"
mta-gw.infomaniak.ch,29,"AS29222 (Infomaniak-AS - Infomaniak Network SA, CH)"
mx1.mailhop.org,28,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
us1-smtp.messagingengine.com,28,"AS151847 (FASTMAILPTYLTD-AS-AP - Fastmail Pty Ltd, AU)"
mx1.qiye.aliyun.com,27,"AS45102 (ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN)"
mx1.ewebdevelopment.com,27,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
eur.olc.protection.outlook.com,27,"AS8075 (MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US)"
mx.pigeonprotocol.com,26,"AS20473 (AS-VULTR - The Constant Company, LLC, US)"
mail.x-networks.net,26,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
hzmx01.mxmail.netease.com,26,"AS45102 (ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN)"
mxn.mxhichina.com,26,"AS45102 (ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN)"
ghs.google.com,26,"AS15169 (GOOGLE - Google LLC, US)"
parkingmaster1.kv.de,26,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx1-usg2.ppe-hosted.com,26,"AS14618 (AMAZON-AES - Amazon.com, Inc., US)"
pkvw-mx.msg.pkvw.co.charter.net,26,"AS40294 (CHARTER-40294-DC - Charter Communications LLC, US)"
mx-aol.mail.gm0.yahoodns.net,26,"AS36646 (YAHOO-NE1 - Yahoo Holdings Inc., US)"
apc.olc.protection.outlook.com,26,"AS8075 (MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US)"
smx.maillb.com,25,"AS211401 (ATAK-AS - Atak Domain Bilgi Teknolojileri A.S., TR)"
nguyendoll.com,24,"AS135905 (VNPT-AS-VN - VIETNAM POSTS AND TELECOMMUNICATIONS GROUP, VN)"
mx1.cock.li,24,"AS9009 (M247 - M247 Europe SRL, RO)"
mx.smtp.dev,24,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx00.ionos.de,24,"AS8560 (IONOS-AS - IONOS SE, DE)"
mx1.spacemail.com,23,"AS22612 (NAMECHEAP-NET - Namecheap, Inc., US)"
in.mailsac.com,23,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
mail.jar3.cn,23,"AS132203 (TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN)"
domains.33mail.com,22,"AS14618 (AMAZON-AES - Amazon.com, Inc., US)"
mx2.timeweb.ru,22,"AS9123 (TimeWeb-AS - JSC _TIMEWEB_, RU)"
own1-mx.iaprem.fun,22,"AS7506 (GMO-I-R1 - GMO Internet, Inc., JP)"
mail.parktons.com,22,"AS20473 (AS-VULTR - The Constant Company, LLC, US)"
mx.services,22,"AS200000 (Ukraine-AS - Hosting Ukraine LTD, UA)"
r3.domainparking.reg.ru,21,"AS197695 (AS-REGRU - _Domain names registrar REG.RU_, Ltd, RU)"
mail.24.email,21,"AS210976 (TWC-EU - Timeweb, LLP, KZ)"
inbound-smtp.eu-west-1.amazonaws.com,21,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
mx0.mail.ovh.net,21,"AS16276 (OVH - OVH SAS, FR)"
mx10.mailspamprotection.com,21,"AS396982 (GOOGLE-CLOUD-PLATFORM - Google LLC, US)"
mx4.burnserver.com,21,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
nam.olc.protection.outlook.com,21,"AS8075 (MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US)"
mx1.alias.proton.me,20,"AS62371 (PROTON - Proton AG, CH)"
mx00.ionos.co.uk,20,"AS8560 (IONOS-AS - IONOS SE, DE)"
mx01.ionos.co.uk,20,"AS8560 (IONOS-AS - IONOS SE, DE)"
bulc.club,20,"AS32244 (LIQUIDWEB - Liquid Web, L.L.C, US)"
smtp.rzone.de,20,"AS6724 (STRATO - Strato GmbH, DE)"
mail.krunsea.com,20,"AS132203 (TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN)"
relay.wn-power.com,20,"AS274011 (AS274011 - JUAN ALFREDO KNOLL, AR)"
mx.proxiedmail.com,19,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx02.xnote.us,19,"AS63949 (AKAMAI-LINODE-AP - Akamai Connected Cloud, SG)"
mail.tutanota.de,19,"AS210909 (TUTA - Tutao GmbH, DE)"
mail.beeservices.shop,19,"AS62564 (LINVEO-LLC - LINVEO, LLC, US)"
tm.xuanlich.com,19,"AS149148 (PHUHAIPC-VN - Phu Hai Computer Co., Ltd, VN)"
0.0.0.0,18,
isaac.mx.cloudflare.net,18,"AS13335 (CLOUDFLARENET - Cloudflare, Inc., US)"
mx1.larksuite.com,18,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
alt1.aspmx.l.google.com,18,"AS15169 (GOOGLE - Google LLC, US)"
mx01.posteo.de,18,"AS8495 (INTERNET_AG - INTERNET AG Global Network, DE)"
relay7m.it.nrw.de,17,"AS43066 (IT-NRW - IT-NRW, DE)"
mx.sendgrid.net,17,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
mxa.eu.mailgun.org,17,"AS396982 (GOOGLE-CLOUD-PLATFORM - Google LLC, US)"
mail.webmailious.top,17,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
hebergement-securise.com,17,"AS12876 (AS12876 - Scaleway SAS, FR)"
in.mail.gw,17,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx1.spaceweb.ru,16,"AS44112 (SWEB-AS - SpaceWeb Ltd, RU)"
parking11.kv.de,16,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx1-usg1.ppe-hosted.com,16,"AS14618 (AMAZON-AES - Amazon.com, Inc., US)"
amir.mx.cloudflare.net,16,"AS13335 (CLOUDFLARENET - Cloudflare, Inc., US)"
mx00.ionos.fr,16,"AS8560 (IONOS-AS - IONOS SE, DE)"
smtp.chinaqoe.com,16,"AS45102 (ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN)"
mx-in.g.apple.com,16,"AS714 (APPLE-ENGINEERING - Apple Inc., US)"
mx203.inbound-mx.net,15,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mail.b-io.co,15,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
linda.mx.cloudflare.net,15,"AS13335 (CLOUDFLARENET - Cloudflare, Inc., US)"
bh.markmonitor.com,15,
parking15.kv.de,15,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx1.altaddress.net,15,"AS7922 (COMCAST-7922 - Comcast Cable Communications, LLC, US)"
mail1.testinator.com,15,"AS63949 (AKAMAI-LINODE-AP - Akamai Connected Cloud, SG)"
mx001.netsol.xion.oxcs.net,15,"AS29838 (AMC - Atlantic Metro Communications II, Inc., US)"
s151.goserver.host,15,"AS48324 (DE-WEBGO - webgo GmbH, DE)"
us2.mx1.mailhostbox.com,15,"AS46606 (UNIFIEDLAYER-AS-1 - Unified Layer, US)"
parking17.kv.de,15,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mail.mailmedi.com,15,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx1.csof.net,15,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx03.posteo.de,15,"AS8495 (INTERNET_AG - INTERNET AG Global Network, DE)"
mail.theloi.io.vn,14,"AS18403 (FPT-VN - FPT Telecom Company, VN)"
us-smtp-inbound-2.mimecast.com,14,"AS30031 (MIMECAST-US - Mimecast North America Inc, US)"
