domain,priority,reason,flame_tp_ids
cmail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 75),TP-0012
dt.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
email.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
etoreo.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
farmer.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
farmersi.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
g-mail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
g.mail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 85),TP-0012
gamil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
geail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
ggmail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gma2il.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmaail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmaal.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmai.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmai9l.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmaiil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmaik.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmail0.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmail5.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmail8.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmailg.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmailh.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmailk.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmaill.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmailm.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmailr.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmails.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmaim.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmain.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmaiol.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmaip.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmaiul.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmakil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmakl.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmal.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmali.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmall.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmaol.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmasil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmauil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmaul.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmeil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmial.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
