domain,fp_id,fp_name,confidence,flame_tp_ids,evidence
2azure.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
2dp.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
2endesk.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
2go-mail.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~wallywatts.com
2llstate.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
2pple.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
2tomicwallet.io,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
2zoom.us,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
3.ai,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
301.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
3070tom.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,90,TP-0001,primary_mx~eye-mail.net
333ccw.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,95,TP-0001,primary_mx~eye-mail.net
335522.xyz,FP-0011,IP-KVM / Remote-Management Exposure,15,,rmm_detected=yes
34.no,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
35.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
372.net,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
395582.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,100,TP-0001,primary_mx~pickelhost.com
3ap.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
3c.ai,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
3dsculpter.net,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
3etrade.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
3exodus.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
