ip,source,asn,kvm_detected,kvm_products,rmm_detected,rmm_products,exposure_evidence,checked_date
103.112.184.29,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.112.62.157,dea_domains_probed.csv,AS150156,False,,False,,,2026-08-23
103.112.99.246,dea_domains_probed.csv,AS400619,False,,False,,,2026-08-23
103.115.48.104,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-25
103.115.48.116,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.115.48.126,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.115.48.5,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.115.48.74,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.115.48.75,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.115.48.77,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.115.48.79,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.115.48.81,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.115.48.98,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.116.38.195,dea_domains_probed.csv,AS140810,False,,False,,,2026-08-25
103.116.38.54,known_campaign_ips.txt,AS140810,False,,False,,,2026-08-23
103.118.240.105,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.11,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.116,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.117,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.143,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.146,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.147,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.150,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.169,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.209,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.234,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.239,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.33,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.240.5,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.241.133,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-30
