domain,primary_mx,mx_ip,asn,asn_name,bgp_prefix,cc,registry,mx_records,error
007game.ru,mx1.beget.ru,185.78.30.48,198610,"BEGET-AS, RU",185.78.30.0/24,RU,ripencc,10 mx1.beget.ru;20 mx2.beget.ru,
022gmail.com,,,,,,,,,
00jac.com,generator.email,91.196.52.205,30886,"KOMITEX-AS, UA",91.196.52.0/24,UA,ripencc,1 generator.email,
02.pl,,,,,,,,,
020zlgc.com,,,,,,,,,
02466.cf,,,,,,,,,
02466.ga,,,,,,,,,
024024.cf,,,,,,,,,
02466.gq,,,,,,,,,
010gmail.com,mainmx4.darkprobe.com,64.227.9.205,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 mainmx4.darkprobe.com;10 auxmx4.darkprobe.com,
02466.ml,,,,,,,,,
02589875a.igg.biz,,,,,,,,,
011gmail.com,aero4.stememail.com,64.227.4.13,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 aero4.stememail.com;10 mail4.stememail.net,
025gmail.com,,,,,,,,,
029gmail.com,,,,,,,,,
03-genkzmail.ga,,,,,,,,,
030gmail.com,,,,,,,,,
012gmail.com,aero4.stememail.com,64.227.4.13,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 aero4.stememail.com;10 mail4.stememail.net,
031gmail.com,,,,,,,,,
031839.com,,,,,,,,,
032gmail.com,,,,,,,,,
0317123.cn,,,,,,,,,
036gmail.com,,,,,,,,,
039gmail.com,,,,,,,,,
041gmail.com,,,,,,,,,
01g.cloud,aspmx.l.google.com,142.250.9.26,15169,"GOOGLE, US",142.250.9.0/24,US,arin,1 aspmx.l.google.com;5 alt1.aspmx.l.google.com;5 alt2.aspmx.l.google.com;10 aspmx2.googlemail.com;10 aspmx3.googlemail.com,
043gmail.com,,,,,,,,,
047gmail.com,,,,,,,,,
050gmail.com,,,,,,,,,
01gmail.com,mx37.mb5p.com,164.90.197.162,14061,"DIGITALOCEAN-ASN, US",164.90.192.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
0530fk.com,,,,,,,,,
0543sh.com,,,,,,,,,
057gmail.com,,,,,,,,,
023gmail.com,mainmx4.darkprobe.com,64.227.9.205,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 mainmx4.darkprobe.com;10 auxmx4.darkprobe.com,
0597797341.website,,,,,,,,,
060gmail.com,,,,,,,,,
0623456.com,,,,,,,,,
02gmail.com,mx37.mb5p.com,147.182.180.139,14061,"DIGITALOCEAN-ASN, US",147.182.176.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
02hotmail.com,aero4.stememail.com,64.227.4.13,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 aero4.stememail.com;10 mail4.stememail.net,
0335g.com,mx4.beavis99.net,188.245.74.208,24940,"HETZNER-AS, DE",188.245.0.0/16,DE,ripencc,0 mx4.beavis99.net;0 mx4.beavis99.com,
027168.com,cname.chacuo.net,47.101.37.59,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",47.100.0.0/15,CN,apnic,5 cname.chacuo.net,
03gmail.com,mx37.mb5p.com,164.90.197.162,14061,"DIGITALOCEAN-ASN, US",164.90.192.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
042gmail.com,srv4.recoverhost.com,206.189.202.1,14061,"DIGITALOCEAN-ASN, US",206.189.192.0/20,US,arin,0 srv4.recoverhost.com;10 em4.recoverhost.com,
045692.xyz,generator.email,91.196.52.205,30886,"KOMITEX-AS, UA",91.196.52.0/24,UA,ripencc,0 generator.email,
0411cs.com,emailfake.com,91.196.52.205,30886,"KOMITEX-AS, UA",91.196.52.0/22,UA,ripencc,0 emailfake.com,
04gmail.com,mx37.mb5p.com,147.182.160.18,14061,"DIGITALOCEAN-ASN, US",147.182.160.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
07-izvestiya.ru,,,,,,,,,
058gmail.com,srv4.recoverhost.com,206.189.202.1,14061,"DIGITALOCEAN-ASN, US",206.189.192.0/20,US,arin,0 srv4.recoverhost.com;10 em4.recoverhost.com,
07819.cf,,,,,,,,,
059gmail.com,mainmx4.darkprobe.com,64.227.9.205,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 mainmx4.darkprobe.com;10 auxmx4.darkprobe.com,
07819.ga,,,,,,,,,
07819.gq,,,,,,,,,
05gmail.com,mx37.mb5p.com,164.90.197.143,14061,"DIGITALOCEAN-ASN, US",164.90.192.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
05hotmail.com,aero4.stememail.com,64.227.4.13,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 aero4.stememail.com;10 mail4.stememail.net,
057ry.higogoya.com,email-fake.com,91.196.52.205,30886,"KOMITEX-AS, UA",91.196.52.0/24,UA,ripencc,5 email-fake.com,
07819.ml,,,,,,,,,
062e.com,mx.4mznz.com,54.151.145.46,16509,"AMAZON-02, US",54.151.128.0/17,US,arin,10 mx.4mznz.com,
062gmail.com,mainmx4.darkprobe.com,64.227.9.205,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 mainmx4.darkprobe.com;10 auxmx4.darkprobe.com,
07819.tk,,,,,,,,,
063gmail.com,srv4.recoverhost.com,206.189.202.1,14061,"DIGITALOCEAN-ASN, US",206.189.192.0/20,US,arin,0 srv4.recoverhost.com;10 em4.recoverhost.com,
078gmail.com,,,,,,,,,
065gmail.com,srv4.recoverhost.com,206.189.202.1,14061,"DIGITALOCEAN-ASN, US",206.189.192.0/20,US,arin,0 srv4.recoverhost.com;10 em4.recoverhost.com,
079i080nhj.info,,,,,,,,,
07stees.online,,,,,,,,,
0800br.ml,,,,,,,,,
066gmail.com,mainmx4.darkprobe.com,64.227.9.205,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 mainmx4.darkprobe.com;10 auxmx4.darkprobe.com,
080mail.com,,,,,,,,,
0662dq.com,mx2.0662dq.com,77.74.177.73,200107,"KL-EXT, CH",77.74.177.0/24,CH,ripencc,10 mx2.0662dq.com;10 mx1.0662dq.com,
0815.ry,,,,,,,,,
0854445.com,,,,,,,,,
0815.su,,,,,,,,,
067gmail.com,mx4.mb1p.com,65.21.178.206,24940,"HETZNER-AS, DE",65.21.0.0/16,DE,ripencc,0 mx4.mb1p.com;10 mx4.m2bp.com,
0845.ru,,,,,,,,,
089gmail.com,,,,,,,,,
068gmail.com,mainmx4.darkprobe.com,64.227.9.205,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 mainmx4.darkprobe.com;10 auxmx4.darkprobe.com,
089563.quest,,,,,,,,,
06gmail.com,mx37.mb5p.com,147.182.160.18,14061,"DIGITALOCEAN-ASN, US",147.182.160.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
092gmail.com,,,,,,,,,
0934445.com,,,,,,,,,
071gmail.com,srv4.recoverhost.com,206.189.202.1,14061,"DIGITALOCEAN-ASN, US",206.189.192.0/20,US,arin,0 srv4.recoverhost.com;10 em4.recoverhost.com,
07157.com,mail.hope-mail.com,5.161.182.241,213230,"HETZNER-CLOUD2-AS, DE",5.161.182.0/24,DE,ripencc,1 mail.hope-mail.com,
09ojsdhad.info,,,,,,,,,
09stees.online,,,,,,,,,
079gmail.com,mainmx4.darkprobe.com,64.227.9.205,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 mainmx4.darkprobe.com;10 auxmx4.darkprobe.com,
07gmail.com,mx37.mb5p.com,147.182.160.18,14061,"DIGITALOCEAN-ASN, US",147.182.160.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
0an.ru,,,,,,,,,
0815.ru,mx.discard.email,159.195.62.192,197540,"NETCUP-AS netcup GmbH, DE",159.195.60.0/22,DE,ripencc,10 mx.discard.email,
086gmail.com,srv4.recoverhost.com,206.189.202.1,14061,"DIGITALOCEAN-ASN, US",206.189.192.0/20,US,arin,0 srv4.recoverhost.com;10 em4.recoverhost.com,
