ASN,Name,Country
AS19893,"NTT-GLOBAL-DATA-CENTERS-AMERICA-INC, US",US
AS306,"DNIC-ASBLK-00306-00371, US",US
AS21227,"OLIKA Location: Sweden, SE",SE
AS29287,"AT-WZN-AS Wien Energie, AT",AT
AS19885,"ISOCENTRIC, US",US
AS20338,"MYTELASN, US",US
AS20,"UR, US",US
AS5089,"NTL, GB",GB
AS133206,"DPL-AS-AP DGTEK PTY LTD, AU",AU
AS49042,"-Reserved AS-, ZZ",
AS12312,"ECOTEL, DE",DE
AS35699,"ADAMOEU-AS Adamo Telecom Iberia S.A., ES",ES
AS137443,"CHANGLIAN-AS-AP ChangLian Network Technology Co., Limited, HK",HK
AS20347,"GFN-, US",US
AS7203,"LEASEWEB-USA-SFO, US",US
AS616,"DNIC-ASBLK-00616-00665, US",US
AS24955,"UBN-AS, RU",RU
AS35758,"HQSERV_NETWORKS, IL",IL
AS204957,"GREENFLOID-AS, US",US
AS399122,"AS-VPSHOUSE, US",US
AS346,"DNIC-ASBLK-00306-00371, US",US
AS452,"AFCONC-BLOCK1-AS, US",US
AS4922,"SHENTEL, US",US
AS212531,"INTERNETO-VIZIJA, LT",LT
AS565,"VTT-AS VTT autonomous system, FI",FI
AS200462,"AS-ETH ETH-Services, DE",DE
AS1140,"SIDN, NL",NL
AS101,"WASH-NSF-AS, US",US
AS198967,"BITEL-GESELLSCHAFT-FUER-TELEKOMMUNIKATION-AS - IP Transit Customer AS33873 -, DE",DE
AS34001,"LIVAS-NET-AS Used by LIVAS NET LLC, Riga ,Latvia. Peering with, LV",LV
AS31863,"DACEN-2, US",US
AS41634,"SVEA, SE",SE
AS596,"CENTURYLINK-LEGACY-LVLT-596, US",US
AS14,"COLUMBIA-GW, US",US
AS62240,"CLOUVIDER Clouvider - Global ASN, GB",GB
AS376,"RISQ-AS, CA",CA
AS213,"DNIC-AS-00213, US",US
AS24282,"KIR KAGOYA JAPAN Inc., JP",JP
AS372,"AS372, US",US
AS4410,"CREDITSUISSEGROUP-AS Credit Suisse Group, CH",CH
AS5429,"IIP-NET-AS5429, RU",RU
AS40075,"RADIOLOGYLTD-ASN, US",US
AS7195,"EDGEUNO S.A.S, CO",CO
AS81,"NCREN, US",US
AS29222,"INFOMANIAK-AS, CH",CH
AS31148,"FREENET_LLC, UA",UA
AS2497,"IIJ Internet Initiative Japan Inc., JP",JP
AS320,"DNIC-ASBLK-00306-00371, US",US
AS213230,"HETZNER-CLOUD2-AS, DE",DE
AS9070,"COOOLBOX, BG",BG
AS56300,"MYREPUBLIC-SG MyRepublic Ltd., SG",SG
AS2495,"KANREN, US",US
AS348,"DNIC-ASBLK-00306-00371, US",US
AS202914,"ADEODC, DK",DK
AS35366,"ISPPRO-AS ISPPRO-AS covers the networks of ISPpro, DE",DE
AS39948,"INIT-PHX, US",US
AS208621,"LOGICFORGE, GB",GB
AS2559,"VISANET-1, US",US
AS57403,"HAZI, RO",RO
AS8849,"MELBICOM-EU-AS Melbikomas UAB, LT",LT
AS20853,"ETOP-AS, PL",PL
AS149,"DNIC-AS-00149, US",US
AS5568,"RBNET, RU",RU
AS33668,"CMCS, US",US
AS3968,"El Colegio de Mexico, A.C., MX",MX
AS4128,"RGNET-DFW RGnet Dallas Equinix, EE",EE
AS201133,"VERDINA, BZ",BZ
AS5385,"RUSSMEDIA-IT, AT",AT
AS5117,"INETNETWORK, US",US
AS6072,"UNISYS-AS-C, US",US
AS10489,"ARMOUR-AS, US",US
AS205544,"LEASEWEB-UK-LON-11, GB",GB
AS2047,"ASN-ROCHE-BASLE Global corporate IP network, CH",CH
AS197922,"TECHCREA-SOLUTIONS, FR",FR
AS510,"INTERNET, US",US
AS13977,"CTELCO, US",US
AS207143,"HOSTTECH-AS, CH",CH
AS4769,"EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd., MY",MY
AS170,"DNIC-AS-00170, US",US
AS15353,"XENTAIN, CA",CA
AS36850,"UNC-CH, US",US
AS12874,"FASTWEB, IT",IT
AS27,"UMDNET, US",US
AS2611,"BELNET, BE",BE
AS34989,"SERVETHEWORLD-AS, NO",NO
AS47692,"NESSUS, AT",AT
AS2906,"AS-SSI, US",US
AS25052,"OMC-ASN, IL",IL
AS8953,"ASN-ORANGE-ROMANIA, RO",RO
AS20836,"CDLAN-AS Milano, IT",IT
AS35612,"NGI-AS, IT",IT
AS46015,"EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd., MY",MY
AS51852,"PLI-AS, PA",PA
AS6111,"FHIS, US",US
AS51290,"HOSTEAM-AS, PL",PL
AS21612,"FUNDACAO INSTITUTO OSWALDO CRUZ, BR",BR
AS33491,"COMCAST-33491, US",US
AS12637,"SEEWEB Web hosting, colocation and cloud services, IT",IT
AS13046,"ASN-ISKON, HR",HR
AS1149,"SURFNET-AS Tijdelijk uitgeleend aan UTWENTE voor onderzoek, NL",NL
AS201308,"CASTLEGEM, RO",RO
AS25,"UCB, US",US
AS44486,"SYNLINQ synlinq.de, DE",DE
AS39326,"HSO-GROUP, GB",GB
AS606,"SCHAT-AS, US",US
AS198859,"ASKESKIKAISTA, FI",FI
AS39251,"NETGUARD, BG",BG
AS9009,"M247, RO",RO
AS24940,"HETZNER-AS, DE",DE
AS160,"U-CHICAGO-AS, US",US
AS202759,"FAIRYHOSTING, EE",EE
AS20536,"DIMINTERNET-AS, UA",UA
AS15366,"DNSNET German Internet Service Providers, DE",DE
AS886,"SBH-IX-SERVICES, FR",FR
AS19816,"NCSDATACOM, US",US
AS16652,"RISEUP, US",US
AS91,"RPI-AS, US",US
AS47436,"-Reserved AS-, ZZ",
AS13213,"UK2NET-AS, GB",GB
AS16342,"TOYA TOYA Sp. z o.o., PL",PL
AS46475,"LIMESTONENETWORKS, US",US
AS51659,"ASBAXET, RU",RU
AS400006,"DIGITAL-MONKS-01, US",US
AS4788,"TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY",MY
AS549,"GTANET-AS, CA",CA
AS19754,"FNL-33-19754, US",US
AS7018,"ATT-INTERNET4, US",US
AS2088,"FR-RENATER-MAYOTTE Reseau National de telecommunications pour la Technologie, EU",EU
AS39737,"PRIME-TELECOM-AS Prime Telecom, RO",RO
AS35592,"COOLHOUSING-AS Vinohradska 190, CZ",CZ
AS40676,"AS40676, US",US
AS20477,"RANDOLPHTELEPHONE, US",US
AS55430,"STARHUB-NGNBN Starhub Ltd, SG",SG
AS212520,"DAVID-TATLISU, DE",DE
AS1983,"BERNALILLO, US",US
AS44,"S1-DOMAIN, US",US
AS4890,"ASN-RICHLINE-FL, US",US
AS32,"STANFORD, US",US
AS203003,"MAGNA-CAPAX, FI",FI
AS48900,"INFODATACENTER, BG",BG
AS49453,"GLOBALLAYER, NL",NL
AS60404,"LITESERVER, NL",NL
AS6871,"PLUSNET UK Internet Service Provider, GB",GB
AS41281,"KEFF Interplanetary Communications Network, GB",GB
AS9050,"RTD Bucharest, Romania, RO",RO
AS400754,"GO-DADDY-COM-LLC, US",US
AS20571,"EXOMI, FI",FI
AS1897,"EUNET, PT",PT
AS11572,"SS-ATL, US",US
AS13469,"STINGRAY GROUP INC, CA",CA
AS20214,"COMCAST-20214, US",US
AS26,"CORNELL, US",US
AS33705,"DIGITAL-SHAPE-TECHNOLOGIES, CA",CA
AS16125,"CHERRYSERVERS1-AS, LT",LT
AS26042,"FIBERSTATE, US",US
AS200136,"LIBRAHOST, FR",FR
AS8767,"MNET-AS Germany, DE",DE
AS199524,"GCORE, LU",LU
AS166,"IDA-AS, US",US
AS6327,"SHAW, CA",CA
AS140787,"LAMA-AS-VN LAM A ARCHITECTURE CONSTRUCTION COMPANY LIMITED, VN",VN
AS1403,"EBOX, CA",CA
AS1701,"AS1701, US",US
AS49889,"CRYSTAL-AS, UA",UA
AS51262,"INTERNETGROUP, CH",CH
AS4804,"MPX-AS Microplex PTY LTD, AU",AU
AS200223,"ETHERON, NL",NL
AS16019,"VODAFONE-CZ-AS, CZ",CZ
AS675,"MSUS-AS, US",US
AS210226,"WINDCLOUD40-AS, DE",DE
AS1759,"TSF-IP-CORE Telia Finland Oyj, FI",FI
AS44869,"FIBIA-P-S, DK",DK
AS3249,"ESTPAK, EE",EE
AS8881,"VERSATEL, DE",DE
AS216246,"RU-AEZA-AS, RU",RU
AS14155,"RURAL-TELEPHONE-SVCCO, US",US
AS1555,"DNIC-ASBLK-01550-01601, US",US
AS7922,"COMCAST-7922, US",US
AS2119,"TELENOR-NEXTEL Telenor Norge AS, NO",NO
AS1612,"FLUXTEL, US",US
AS1835,"FSKNET-DK Forskningsnettet - Danish network for Research and Education, EU",EU
AS2875,"JINR-AS JINRHEPNET, RU",RU
AS2107,"ARNES-NET Academic and Research Network of Slovenia, SI",SI
AS39953,"HRBL-LAX-INTERNET-BGP, US",US
AS979,"NETLAB-SDN, US",US
AS1620,"AS-DOELEGAL, US",US
AS30764,"PODA-AS, CZ",CZ
AS1221,"ASN-TELSTRA Telstra Limited, AU",AU
AS40244,"TURNKEY-INTERNET, US",US
AS5528,"JSC-BALTICOM3, LV",LV
AS846,"SOLV-OCC-01, US",US
AS264,"SRINET-AS, US",US
AS22646,"HARCOM1, US",US
AS394711,"KORGRID, US",US
AS9044,"SOLNET, CH",CH
AS51167,"CONTABO, DE",DE
AS45037,"HISPAWEB-NETWORK, ES",ES
AS4647,"CENTRANETWORKS-AU Centra Networks, AU",AU
AS23655,"TWODEGREES-NZ-AS 2degrees Networks Limited, NZ",NZ
AS393886,"LEASEWEB-USA-MIA, US",US
AS672,"DNIC-AS-00672, US",US
AS49774,"INTERLINK-BANAT-AS Intrarea Joseph Haydn Nr 3, RO",RO
AS35680,"VOLIA, UA",UA
AS44034,"HI3G, SE",SE
AS1380,"MCVEAN, US",US
AS65,"AF-RASN-65, US",US
AS26527,"LIGHTWAVE-NETWORKS, US",US
AS2117,"Garching, Germany, DE",DE
AS34224,"NETERRA-AS, BG",BG
AS142036,"HOSTEONS-AS-AP Hosteons Pte. Ltd., SG",SG
AS3790,"RADIOGRAFICA COSTARRICENSE, CR",CR
AS292,"ESNET-WEST, US",US
AS39585,"RADIO-CONTINENTAL-AS, RU",RU
AS212050,"DIN-SERVER, DK",DK
AS41676,"JMDI ORG-JJM1-RIPE, PL",PL
AS2018,"TENET-1, ZA",ZA
AS206,"CSC-IGN-AMER-AS206, US",US
AS197540,"NETCUP-AS netcup GmbH, DE",DE
AS394380,"LEASEWEB-USA-DAL, US",US
AS328364,"Host-Africa-AS, ZA",ZA
AS2116,"GLOBALCONNECT-, NO",NO
AS216418,"FSCD-NET, IT",IT
AS398,"AFCONC-BLOCK1-AS, US",US
AS6127,"IDSC, EG",EG
AS4557,"SOUTHEAST-TEXAS-GIGAPOP, US",US
AS1999,"HOUSE-AS-1, US",US
AS468,"AFCONC-BLOCK1-AS, US",US
AS3366,"A2I-WEST, US",US
AS3614,"DELL-BLK, US",US
AS13625,"REDWARNING, CA",CA
AS400,"AFCONC-BLOCK1-AS, US",US
AS8873,"WBERGNET, SE",SE
AS1916,"Rede Nacional de Ensino e Pesquisa, BR",BR
AS27364,"ACS-INTERNET, US",US
AS39839,"DK-PUNKTUM The .DK TLD Registry, DK",DK
AS55103,"THIN-NOLOGY, US",US
AS14007,"SOHOSKYWAY1, CA",CA
AS3232,"ORG-ML847-RIPE, GB",GB
AS1257,"TELE2, EU",EU
AS209696,"NILSAT, BG",BG
AS1,"LVLT-1, US",US
AS4977,"VENCORESS, US",US
AS399804,"HOSTODO, US",US
AS203,"CENTURYLINK-LEGACY-LVLT-203, US",US
AS204471,"KARSOLINK, IT",IT
AS378,"MACHBA-AS ILAN, IL",IL
AS4390,"BELLATLANTIC-COM, US",US
AS207408,"SERVINGA-EE, DE",DE
AS2675,"CDAGOVN, CA",CA
AS30722,"VODAFONE-IT-ASN, IT",IT
AS12576,"EE Ltd, GB",GB
AS62282,"RACKRAY UAB Rakrejus, LT",LT
AS44812,"IPSERVER-RU-NET Fiord, RU",RU
AS13110,"INEA-AS, PL",PL
AS4867,"CBOE, US",US
AS5491,"OLSSON_NET, DK",DK
AS210352,"YIJIAXU, CN",CN
AS49367,"ASSEFLOW, IT",IT
AS50360,"TAMATIYA-AS, BG",BG
AS200519,"NYNEX-FIBERONE NYNEX fiberONE, DE",DE
AS7725,"COMCAST-7725, US",US
AS12093,"UWATERLOO, CA",CA
AS30823,"AUROLOGIC aurologic GmbH, DE",DE
AS207279,"MARKAHOST-TELEKOMUNIKASYON-LIMITED-SIRKETI MARKAHOST, TR",TR
AS398242,"PCEPA, US",US
AS62005,"BV-EU-AS, EE",EE
AS211857,"NSHOST, RO",RO
AS44709,"CLOUDWEBMANAGE-, IL",IL
AS44133,"IPAX-AS, AT",AT
AS60117,"HS, AE",AE
AS51395,"AS-SOFTPLUS, CH",CH
AS198985,"AQUILENET AQUILENET, FR",FR
AS57858,"AS57858, SC",SC
AS19969,"JOESDATACENTER, US",US
AS20576,"GAZSVYAZ 16, Nametkina street, RU",RU
AS57269,"DIGISPAINTELECOM, ES",ES
AS884,"GONET-ASN-17, CA",CA
