ASN,Name,Country,Source_List,Is_High_Value_Target,Target_Type
AS133165,"DIGITALOCEAN-AS-AP Digital Ocean, Inc., SG",SG,Unknown,False,
AS133206,"DPL-AS-AP DGTEK PTY LTD, AU",AU,Unknown,False,
AS133229,"SKIPLLC-AS-AP SKIP LLC, JP",JP,Unknown,False,
AS133296,"WEBWERKS-AS-IN Web Werks India Pvt. Ltd., IN",IN,Unknown,False,
AS133393,"NAKIHOST-AS-AP Naki Host Limited, NZ",NZ,Unknown,False,
AS133398,"TELE-AS Tele Asia Limited, HK",HK,Unknown,False,
AS133480,"INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU",AU,Unknown,False,
AS133481,"AIS-FIBRE-AS-AP AIS Fibre, TH",TH,Unknown,False,
AS133499,"HOSTROYALETECHNOLOGIES-AS-AP HostRoyale Technologies Pvt Ltd, NZ",NZ,Unknown,False,
AS13367,"COMCAST-13367 - Comcast Cable Communications, LLC, US",US,Unknown,False,
AS133752,"LEASEWEB-APAC-HKG-10 LEASEWEB HONG KONG LIMITED, HK",HK,Unknown,False,
AS133795,"CHOOPALLC-AS-AP The Constant Company, LLC, JP",JP,Unknown,False,
AS13435,"COMMUNITY-HEALTH-CHOICE - Community Health Choice, Inc., US",US,Unknown,False,
AS134351,"LEASEWEB-AS-AP Leaseweb Japan K.K., JP",JP,Unknown,False,
AS134450,"HOSTROYALETECHNOLOGIES-AS-AP HostRoyale Technologies Pvt Ltd, IN",IN,Unknown,False,
AS134451,"NME-INDONESIA-AS-AP NewMedia Express Pte Ltd, ID",ID,Unknown,False,
AS13469,"STINGRAY GROUP INC - Stingray, CA",CA,Unknown,False,
AS134697,"LAUNTEL-AS-AP Launtel, AU",AU,Unknown,False,
AS1348,"CA-DOTNET-AS - California Department of Transportation, US",US,Unknown,False,
AS13483,"INFOR-AS13483 - Infor US, LLC, US",US,Unknown,False,
AS134835,"SNL-HK Starry Network Limited, HK",HK,Unknown,False,
